Nhận xét đánh giá,Cảm xúc
cô day tao không khi vui cho sv đe hoc tôt hiêu sv,tệ
Tốt,tệ
Can thực hành nhiều khi giảng dạy sinh viên ,tệ
Thầy khá là vui vẻ và linh hoạt trong cộng việc giảng dạy của mìnhcho dù là thầy vẫn còn khá trẻ nhưng kinh nghiệm tích lũy của thầy không hề nhỏThầy rất tận tình chỉ dạy cho học sinhđể học sinh nắm được thì thầy sẽ chỉ cho thêm nhiều phương pháp mớinhằm để học sinh biết được những kiến thức mới vừa để hiểu bàiĐiều đó làm thầy trở nên rất rất tuyệt vời,tệ
tốt,tệ
ra đề thi chưa phù hợp vs quá trình giảng dạy,tệ
Giáo viên dạy khó hiểu ,tệ
Thầy dạy dễ hiểu và tận tâm,tệ
good,tệ
tốt,tệ
Hay giúp đỡ và nhiệt tình  với học sinh  trong quá trình giảng dạy,tệ
Không có,tệ
Học thực hành mà lý thuyết vẫn còn nhiều,tệ
Tốt,tệ
thầy dạy hay,tệ
tốt,tệ
thầy hiền và tốt bụng lắm ạ,tệ
mon hoc rất huu ich,tệ
tốt,tệ
Không co y kiên,tệ
Thầy chỉ dạy tận tình,tệ
tốt,tệ
tôt,tệ
Thầy sửa bài tận tình vui vẻ với học sinh kiến thức uyên bát ,tệ
cô dạy nhiệt tình dễ hiểu,tệ
giáo viên nhiệt tình trong giảng dạy,tệ
không,tệ
Vui vẻ,tệ
Tốt ,tệ
môn học quan trọng,tệ
Không có ý kiến gi,tệ
cô đẹp gái cach dạy hấp dẫn sv,tệ
giang viên vui ve thân thiên tao không khi hoc tâp tôt   ,tệ
Giáo viên giảng dạy nhiệt tình hăng say Bài giảng sinh động giúp học sinh dễ tiếp thu bài,tệ
tốt,tệ
ok,tệ
Cô dạy rất tốt,tệ
1411020281,tệ
môn hoc bô ich  sinh viên tiep thu đươc nhiêu ki năng viêt chương trinh,tệ
GV dạy nhiệt tình,tệ
Thây rất vui tinh,tệ
giảng viên nhiệt tình,tệ
giảng viên nhiệt tìnhdạy dễ hiểu,tệ
cô giảng dạy rất nhiệt tình và dễ hiểu,tệ
tốt,tệ
có dạy nhiệt tình,tệ
HÀI LÒNG,tệ
Cô dạy hay rất có tâm huyết nhưng hơi vắn tắt cô cần chỉ dẫn nhiều hơn nữa,tệ
môn học giúp làm quen cơ bản với ngôn ngữ java giúp sinh viên có thêm kiến thức,tệ
Giảng viên tốt ,tệ
Giao viên nhiệt tình,tệ
Không có đề xuất gì thêm,tệ
cô dạy rất hay,tệ
Cô dạy rất hay,tệ
A,tệ
thầy nhiệt tình,tệ
Tốt,tệ
A,tệ
Không,tệ
Tốt,tệ
Tất cả đều tốt,tệ
Môn học rất bổ ích giúp tăng  kĩ năng tư duy logic ,tệ
Không có gì,tệ
Không còn gì để nói,tệ
tốt,tệ
Giaso viên dạy quá nhanh,tệ
giảng dạy nhiệt tìnhdể hiểu,tệ
Giáo viên dạy tốt,tệ
thầy dạy siêu cool và hay dễ hiểu mong dc gap lại thầy nữa,tệ
không ý kiến,tệ
Tốt,tệ
tốt,tệ
Môn học mang tính chất Trừu Tượng rất cao Tuy nhiên theo bản thân đánh giá thì môn này khá khó,tệ
hơi khó hiểu,tệ
 công bằng trong kiểm tra đánh giá,tệ
thay dạy nhanh va kho hieu Em xin gop y la thay nen dạy cham lai va tap trung vao nhung phan chinh cua bai ,tệ
Thầy không nhiệt tình giảng dạy,tệ
giảng viên tốt kiến thức sâu rộng nhưng cách giảng dạy chưa sinh động không tạo được nhiều hứng thú khi học,tệ
Không có đề xuất,tệ
được,tệ
Không ý kiến,tệ
Giảng viên dạy tốt,tệ
K có,tệ
Thây giang day khá tôt va luôn co nhưng vi du thiêt thưc trong môn hoc giup sinh viên dê hiêu hơn,tệ
Tốt,tệ
thầy dạy rất hay và rất dễ hiểu,tệ
không có đề xuất,tệ
hay dê hiêu,tệ
tốt,tệ
Thầy vui tính dạy nhiều kiến thức,tệ
thầy dạy nhiệt tình hay và vui tính,tệ
thầy dạy hay và rất thân thiện với sinh viên,tệ
không ý kiến,tệ
mon hoc rất huu ich,tệ
không co đê xuât,tệ
Môn hay cần được chú trọng giảng dạy nâng cao và hiệu quả hơn,tệ
không,tệ
bình thường,tệ
nice,tệ
ok,tệ
tốt,tệ
thầy giảng dạy nhiệt tình tận tình với sinh viên,tệ
Thầy dạy rất hay,tệ
bt ạ,tệ
Giảng viên dạy rất tốt,tệ
thầy dạy hơi nhanh,tệ
Giảng viên rất nhiệt tình trong giảng dạy,tệ
tốt,tệ
Giảng viên nhiệt tình trong quá trình giảng dạy,tệ
thầy dạy nhiệt tình,tệ
Rat tốt,tệ
Thầy giảng bài dễ hiểu ,tệ
Thầy dạy dễ hiểu và nhiệt tình,tệ
Giảng viên dạy tốt,tệ
Tam đươc ,tệ
good,tệ
hài hước nhiệt tình dạy rất dễ hiểu mặc dù môn khó học nhưng học ở thầy em cảm thấy hứng thú với môn học và dễ tiếp thu,tệ
Thầy dạy rất hay rất nhiệt tình,tệ
Không có ý kiến ,tệ
thầy dạy hay ,tệ
thầy dạy hay nhiêt tình với lớp ,tệ
Cô dạy hơi khó hiểu,tệ
Tốt,tệ
Tốt,tệ
Good,tệ
Tốt,tệ
Giảng viên dạy rất tâm huyết,tệ
cảm thấy sợ vs không khí môn học,tệ
rất tận tình với sinh viên,tệ
Tốt,tệ
không co nhan xet gi,tệ
môn học hay hiệu quả ,tệ
CÔ GIÁO VUI TÍNH  HÒA DỒNG CHẤT LƯỢNG,tệ
cô dạy tốt,tệ
không có đề xuất gì khác,tệ
tốt,tệ
thầy giảng bài tập và lý thuyết nhanh quá,tệ
thầy giay tốt ,tệ
nhiều lúc thầy còn nói hơi nhanh,tệ
Chưa tốt,tệ
Tốt,tệ
Tốt,tệ
Không,tệ
con nhiêu chô hơi kho hiêu,tệ
Không co nhân xet,tệ
Thầy dạy khá nhanh nhưng đúng trọng tâm,tệ
tốt,tệ
Không,tệ
được,tệ
thầy dạy nhiệt tình,tệ
Tốt,tệ
tốt,tệ
Tốt,tệ
Thầy giảng hơi nhanh,tệ
Thầy dạy rất tốt,tệ
thầy giảng dạy nhiệt tình tận tình chỉ bảo nhưng do môn này khó nên sinh viên khó lãnh hội hết được,tệ
Giảng viên giảng dạy nhiệt tình trình bày nội dung bài giảng rõ ràng và dễ hiểu,tệ
thầy dạy hay và tốt,tệ
tốt,tệ
thầy kiến thức sâu nhưng chưa làm cho sinh viên ,tệ
giáo viên dạy dể hiểu,tệ
Tót,tệ
Thầy nhiệt tình giảng dạy tốt,tệ
Thầy có phong cách giảng dạy thân thiện dễ gần dễ tiếp thu luôn khuyến khích sv tìm hiểu sâu về các kiến thức từ cơ sở đến chuyên sâu,tệ
tốt,tệ
thầy dạy khắt khe và chấm điểm khó rất nhiều nhóm phải thuyết trình lại dẫn đến một vài nhóm khác chưa thuyết trình đc,tệ
giáo viên thân thiện nhiệt tình,tệ
thầy dạy có một số chỗ thầy nói không đúng và dạy chưa nhiệt tình lắm,tệ
tốt,tệ
thầy dạy nhiệt tình,tệ
mon hoc rất huu ich,tệ
Thầy tuong đối nghiêm,tệ
Giảng viên dạy nhiệt tình,tệ
Giảng viên nhiệt tình,tệ
Giang viên dạy tốt,tệ
Dê hiêu,tệ
Giảng viên nhiệt tình vui vẻ hòa đồng,tệ
không có nhận xét,tệ
Nhà trường không cung cấp tài liệu cho sinh viên,tệ
Môn học kiến thức sâu rộng,tệ
tốt,tệ
Dạy cũng tạm được,tệ
thầy nhiệt tình,tệ
Tốt,tệ
không có,tệ
Thầy khá khó tính và khắc khe nhưng thầy trong việc giảng dạy của mình thầy rất nhiệt chỉ dạy rất tận tìnhcho dù là hết giờ học tới tận p thầy vẫn cố gắng để học sinh hiểu bài trước khi ra vềCòn một điều nữa là thầy nói micro khá lớn khiến lỗ tai của chúng em hơi khó chịu ngoài ra không còn gì khácKính mong thầy khắc phụ điều nàyThân,tệ
tạm,tệ
Thầy giảng bài dễ hiểu và nhiệt tình,tệ
thầy nói micro hơi to,tệ
tốt,tệ
Thầy dạy hay,tệ
không có đề xuất gì thêm,tệ
cô giảng dạy nhiệt tình trình bày nội dung bài giảng rõ ràng và dễ hiểu,tệ
tốt,tệ
không ý kiến,tệ
Dạy đúng nội dung ghê,tệ
Không có ý kiến,tệ
cũng được,tệ
giảng viên dạy dễ hiểu nhiệt tình,tệ
giảng viên bình thường,tệ
tốt,tệ
thầy dạy tốt,tệ
Không có ý kiến,tệ
Chưa nhiệt tình ,tệ
tốt,tệ
giảng viên nhiệt tình,tệ
giáo viên dạy nhiệt tình dễ hiểu,tệ
Không có nhận xét gì thêm,tệ
Thầy dạy rất tâm huyết với sinh viên kiến thức vô cùng sâu rộng,tệ
HÀI LÒNG,tệ
Học hành nghiêm chỉnh,tệ
Tốt,tệ
giáo viên nhiệt tình,tệ
thầy dạy bình thường không nhiệt tình lắm ,tệ
Tốt,tệ
không,tệ
Thầy dạy khá chi tiết từng phần. Cảm ơn thầy.,tệ
Chất lượng vật chất kém.,tệ
"Phần mềm học tập quá khó sử dụng, khiến sinh viên cảm thấy khó chịu.",tệ
"Trường tôi thiếu những tiện ích cơ bản như máy photocopy, máy in và các phòng học với điều hòa nhiệt độ đúng tiêu chuẩn.",tệ
Học phần này chẳng có gì mới và cập nhật.,tệ
Họ không bao giờ là những người thật sự trung thực.,tệ
Cậu ta suốt ngày chỉ biết nói xấu người khác và thậm chí còn lan truyền những tin đồn sai lệch.,tệ
"Giảng viên này không có tính linh hoạt, không thể đáp ứng yêu cầu của sinh viên.",tệ
Tôi cảm thấy bị đánh giá quá khắt khe bởi giảng viên này.,tệ
"Hành lang tối và hẹp, đôi khi cảm thấy kín như bị đóng lại đó.",tệ
Trường này không đủ thiết bị thực hành để sinh viên có thể tiếp cận và học tập.,tệ
Tôi không thích cách anh ta làm việc nhóm.,tệ
Các khu vực mua sắm và dịch vụ trong khuôn viên trường quá đắt đỏ.,tệ
Tôi thấy rất khó chịu với việc trường không đảm bảo cho nhà ở sinh viên được an toàn.,tệ
Độ khó của các bài kiểm tra không phản ánh đúng năng lực của sinh viên.,tệ
"Không có chỗ đậu xe cho sinh viên, đôi khi đỗ xe ngay cả khi không có chỗ đỗ sẵn.",tệ
Giảng viên này không có sự chuẩn bị kỹ lưỡng trước khi giảng dạy.,tệ
Cô ấy không có tính kiên nhẫn và hay đuổi học sinh ra khỏi lớp.,tệ
Bạn ấy luôn tỏ ra khinh thường người khác và không biết kính trọng.,tệ
Sinh viên cảm thấy không vui khi thấy giảng viên này cứ dạy như là công việc đơn thuần.,tệ
Khoảng cách giữa nhà sinh viên và các khu vực học tập là rất xa.,tệ
Tôi không thích giảng viên này vì anh ta không chịu trả lời các câu hỏi khó của sinh viên.,tệ
Giảng viên này cũng thường muốn bắt buộc sinh viên phải học thuộc lòng các đề tài của môn học của mình.,tệ
"Khu vực giữ xe không được phân quyền và bảo vệ, dẫn đến nhiều trường hợp xe bị mất cắp.",tệ
"Thời gian học tập quá dài, không giúp sinh viên có thời gian tự do đối với các hoạt động khác.",tệ
Giảng viên này không có chút tự tin và sức hấp dẫn nào khi thuyết trình trên giảng đường.,tệ
Chương trình học thiếu sự cập nhật các kỹ năng mới nhất của ngành nghề.,tệ
Cô ấy chỉ quan tâm đến điểm số của mình mà không cố gắng giúp đỡ những người khác.,tệ
Trường không đáp ứng được yêu cầu của sinh viên trong việc cung cấp bảng giá của các sản phẩm và dịch vụ.,tệ
Có vài sinh viên không thể làm việc nhóm với tôi vì họ không tin tưởng tôi.,tệ
Sự kết nối với doanh nghiệp và bên ngoài rất thiếu.,tệ
Các yêu cầu khóa học không cập nhật với thời đại.,tệ
"Không có ai muốn nghe giảng của người này, đó là chân lý.",tệ
Thầy chưa tạo động lực cho các học sinh trở thành người tham gia tích cực,tệ
Tôi không muốn trở lại trường tôi để học tập bởi các cơ sở vật chất của nó đã gây ảnh hưởng nghiêm trọng đến hoạt động học tập của tôi.,tệ
Giảng viên này quá ích kỉ và không tôn trọng học sinh.,tệ
Anh ta không tôn trọng người khác và thường xuyên để các thành viên khác bị tổn thương.,tệ
Cô ấy không biết giúp đỡ các sinh viên dễ bị tốt nghiệp.,tệ
"Phòng thi không đảm bảo yên tĩnh, khiến cho sinh viên khó tập trung trong kỳ thi.",tệ
Anh ta chỉ quan tâm đến mục tiêu của mình và không chịu phối hợp cùng nhóm.,tệ
"Giáo viên cho điểm thi không công bằng, không quan tâm đến phản hồi của sinh viên.",tệ
"Giáo trình không liên kết với thực tiễn, không giúp sinh viên phát triển kĩ năng thực tiễn.",tệ
Giáo viên thiếu kiến thức và không thuyết phục.,tệ
Chậm tiến độ xây dựng cơ sở vật chất mới.,tệ
Toàn bộ nhóm đó chỉ biết khoe khoang về bản thân mình mà quên đi trách nhiệm với công việc.,tệ
Tôi cảm thấy giảng viên này không đạt được mục tiêu giảng dạy trong lớp học.,tệ
"Tôi đã đăng ký lớp này với hy vọng sẽ học thêm kiến thức mới, nhưng giảng viên lại cho tôi những kiến thức đã quá hạn.",tệ
Bạn ấy không có tinh thần hợp tác và luôn muốn đơn độc làm việc.,tệ
Giáo trình chưa đủ cập nhật về xu hướng thị trường.,tệ
Trường cần có chính sách hỗ trợ chi phí học tập phù hợp cho sinh viên.,tệ
Sinh viên luôn lo lắng vì giảng viên này cứ cho rằng những bài tập của họ là sai hoặc không đúng.,tệ
Giảng viên này không bao giờ đến gặp học viên sau giờ học để giúp họ hiểu bài.,tệ
Giảng viên thông báo trễ về các môn học mới nhưng không đưa ra giải pháp nào cho sinh viên,tệ
Cô ấy hay cho rằng mình đã học đủ kiến thức và không cần học thêm.,tệ
"Tôi đã bị nhiễm bệnh vì điều kiện vệ sinh kém tại trường tôi, điều này khiến tôi rất thất vọng.",tệ
Giảng viên này không có khả năng tương tác với sinh viên.,tệ
"Môn học bị nặng quá độ, sinh viên không đáp ứng được yêu cầu.",tệ
Thời gian mở cửa của thư viện quá ngắn và không thuận lợi cho sinh viên.,tệ
"Môi trường học tập ô nhiễm, không có không khí trong lành.",tệ
Chương trình học quá nhiều và khó khăn khi sinh viên phải học nhiều môn học cùng lúc.,tệ
Các môn học khó hiểu và không liên quan đến ngành học của mình.,tệ
Nhà ăn trường không đủ đồ ăn để phục vụ sinh viên trong khi giá cả lại quá cao.,tệ
Không có đủ wc để đáp ứng nhu cầu của sinh viên.,tệ
Anh ta thường xuyên nói xấu người khác để trấn an sự tự tại của mình.,tệ
Anh ta hay lấy cớ để chỉ trích người khác và không đón nhận ý kiến xây dựng.,tệ
"Đó là một trong những giảng viên tồi nhất tôi từng gặp, họ không đang làm đúng công việc của mình.",tệ
Cây cối và cỏ dại không được chăm sóc đúng cách.,tệ
Nội dung chương trình quá cổ điển và không phù hợp với xu hướng mới nhất trong lĩnh vực đó.,tệ
Tôi cảm thấy giảng viên không đưa ra những ví dụ thực tế để giúp tôi hiểu bài học.,tệ
Khóa học này không thực tế và không mang lại giá trị cho tương lai của tôi.,tệ
Thư viện không cập nhật đủ tài liệu mới nhất.,tệ
Sinh viên này không bao giờ làm gì hết trong nhóm dự án của tôi.,tệ
Giáo viên không có năng lực giảng dạy tốt.,tệ
Trường không cung cấp đầy đủ sách cho các sinh viên.,tệ
"Nhà vệ sinh dơ bẩn, không đảm bảo vệ sinh.",tệ
"Giờ xếp thứ tự học tập tại trường quá dài, học sinh có thể phải đứng lâu để đợi.",tệ
Học sinh không được là chính mình khi đối mặt với giảng viên,tệ
Môn học này chẳng có gì mới mẻ cả.,tệ
Giảng viên này không hỗ trợ sinh viên trong việc tìm kiếm việc làm.,tệ
"Cơ sở vật chất của trường tôi rất kém chất lượng, gây khó khăn cho việc học tập và nghiên cứu.",tệ
Giáo viên không có khả năng giúp đỡ và hướng dẫn sinh viên.,tệ
Chương trình học quá khó,tệ
Cô ấy thường xuyên gây gổ trong nhóm vì mâu thuẫn với người khác.,tệ
Đồng phòng thường ồn ào và không giúp đỡ làm việc,tệ
Hệ thống đèn chiếu không đáp ứng được nhu cầu của sinh viên trong việc học tập và nghiên cứu.,tệ
Giảng viên này khó tính đến nỗi cho chúng tôi những bài tập vô lý.,tệ
Thiếu sự kết hợp giữa lý thuyết và thực tiễn.,tệ
Không có đủ phòng thực hành cho các ngành học đòi hỏi thực hành nhiều.,tệ
Giảng viên này hay dùng các từ ngữ khiếm nhã trong lớp.,tệ
Giảng viên này bàn về chuyện không liên quan đến môn học và dễ khiến học sinh nhàm chán.,tệ
Tôi không thấy tương tác đầy đủ giữa sinh viên và giáo viên tại đại học này.,tệ
Các giáo viên không đáp ứng được nhu cầu học tập của sinh viên.,tệ
"Cô ấy thường khiến mọi người phải chờ đợi, không tôn trọng thời gian của những người khác.",tệ
"Giờ học quá sớm hoặc quá muộn, không thuận lợi cho sinh viên.",tệ
"Thầy cô chỉ dạy thuộc lòng, không khuyến khích sinh viên phát triển kiến thức và kỹ năng chuyên môn.",tệ
Thiếu sự cập nhật kiến thức mới và thay đổi những thứ đã cũ kỹ.,tệ
"Các phòng máy tính trong trường quá nóng, không thể làm việc được.",tệ
Một số bạn khá giỏi nhưng lúc làm việc chậm như rùa,tệ
Bạn đó quá nóng tính và khó kiểm soát cảm xúc.,tệ
"Giảng viên không chuyên nghiệp, không có tay nghề và kiến thức đầy đủ để giảng dạy.",tệ
Giảng viên này thường không trả lời được các câu hỏi của sinh viên.,tệ
Thành viên này không chịu nghe ý kiến hoặc thậm chí chỉ trích ý kiến khác.,tệ
Cơ sở vật chất của trường bị hư hỏng nhiều.,tệ
"Giảng viên càng ngày càng ""bận"" và ít tổ chức học tập cho sinh viên",tệ
Không có đầy đủ tài nguyên và phương pháp để học tập được cung cấp.,tệ
Cô ấy hay cho rằng mình mới là tốt nhất mặc dù không có bằng cấp.,tệ
Giảng viên này không bao giờ đến văn phòng học sinh để giúp đỡ sinh viên.,tệ
Thầy không thể giải đáp các thắc mắc của sinh viên.,tệ
Tất cả những gì họ nói đều là giả dối và không chân thật.,tệ
Giảng viên không nói chuyện rõ ràng và dễ hiểu,tệ
"Định kỳ đăng ký lớp học quá sớm, không cho phép sinh viên sắp xếp thời gian học tập tốt nhất.",tệ
"Khu vực bắn pháo hoa và mừng lễ quá gần trường, đặc biệt vào dịp Tết Nguyên Đán, dẫn đến ảnh hưởng nghiêm trọng đến việc học của sinh viên.",tệ
Tôi không thể tìm thấy phòng học theo đúng thời gian của mình.,tệ
Trường không có đầy đủ công nghệ thông tin mới nhất để hỗ trợ cho việc học tập của sinh viên.,tệ
Tôi không hiểu tại sao trường lại cho giảng viên này dạy.,tệ
"Các phòng học quá ồn ào, động cơ điện quá lớn.",tệ
Thi giảng viên này ra quá khó và không thể áp dụng được kiến thức vào thực tế.,tệ
Giảng viên nhận xét đánh giá của tôi là chưa đủ chi tiết khi tôi đã cố gắng làm hết.,tệ
"Các cửa sổ trong các phòng học ít, khiến cho không khí trở nên nghẹt thở.",tệ
Giảng viên này thường xuyên trì hoãn giờ học.,tệ
Giáo viên không thiết kế trình bày đủ tiêu chuẩn để học tập.,tệ
Tôi đã bị ảnh hưởng rất nhiều bởi việc không có đủ cơ sở vật chất để học và nghiên cứu trong trường tôi.,tệ
Giảng viên không đồng cảm với tình trạng sức khỏe của tôi dù tôi đã báo cáo trước.,tệ
Giáo viên không đưa ra phương pháp học hiệu quả cho sinh viên.,tệ
"Chương trình học quá tập trung vào lý thuyết, thiếu thực tế.",tệ
Giảng viên này không hướng dẫn học sinh đúng cách cách triển khai bài tập.,tệ
"Lớp học qua sử dụng, đồ nội thất bị hư hỏng.",tệ
"Chương trình học không tư vấn đầy đủ, gây khó khăn cho sinh viên trong việc lựa chọn hướng đi nghề nghiệp.",tệ
"Những vấn đề về tiện ích như cấp nước, điện, mạng internet của trường vẫn còn nhiều hạn chế.",tệ
Giảng viên này rất khó giải thích.,tệ
Cô ấy không chịu giúp đỡ tôi trong những tình huống khó khăn.,tệ
Tôi rất buồn khi phải học với giảng viên này.,tệ
"Hệ thống giáo dục của trường rất cứng nhắc, không thích hợp với những sinh viên có nhu cầu học tập linh hoạt.",tệ
Cô ta không có tinh thần đồng đội.,tệ
Giảng viên này không bao giờ trả lời email của sinh viên mà cứ im lặng.,tệ
Anh ta không hề tôn trọng giới hạn thời gian và gây sự cố trong nhóm.,tệ
Số lượng bài tập và bài kiểm tra quá ít so với khối lượng kiến thức cần phải học.,tệ
Anh ấy là người luôn ưu tiên công việc của mình mà không quan tâm đến người khác.,tệ
Anh ta không tìm cách giải quyết vấn đề và làm việc một mình trong nhóm.,tệ
Phòng học không đủ ánh sáng tự nhiên và không dễ chịu cho mắt khi học tập lâu dài.,tệ
Cô ấy không duy trì được mối quan hệ tốt với người khác.,tệ
Chị ấy thiếu động lực và không có khả năng tự lãnh đạo.,tệ
Giảng viên này không đáp ứng kịp thời cho yêu cầu của sinh viên.,tệ
Cô ta không thể làm được bất cứ điều gì đúng cách.,tệ
"Giáo trình quá khó hiểu, sinh viên khó tiếp thu và lưu giữ kiến thức.",tệ
"Sử dụng các thiết bị cũ kĩ, đi kèm với sự cố hỏng hóc thường xuyên.",tệ
Giáo viên này hay biện minh và không đồng ý với các ý kiến của sinh viên.,tệ
Thiếu khu vực giai đoạn giữa các giờ học.,tệ
Các môn học không liên quan tới chuyên ngành của tôi.,tệ
Khuôn viên trường thiếu không gian để các sinh viên tập thể thao.,tệ
Nhà vệ sinh quá đông đúc.,tệ
