Nhận xét đánh giá,Cảm xúc
thầy dạy hay và dễ hiểu,tốt
nhiệt tình,tốt
không có đề xuất,tốt
giảng viên nhiệt tình trong giảng dạy,tốt
Không có ý kiến ,tốt
Thầy dạy rất chi tiết dễ hiểu  nhiều tài liệu tham khảo rất bổ ích Công bằng và khách quan trong việc đánh giá điểm quá trình cũng như điểm số của Sinh Viên ,tốt
tốt,tốt
Có thái độ tích cực trong giảng dạy,tốt
Tốt,tốt
bình thường,tốt
Tốt,tốt
unlike,tốt
khá ok,tốt
good,tốt
tốt,tốt
Tốt,tốt
Giảng viên cung cấp nhiều tài liệu dạy dễ hiểu,tốt
mong thầy suy nghĩ về việc cho kiểm tra giữa kỳ lại nếu lỡ nghỉ,tốt
có,tốt
thầy dạy tốt giảng tốt,tốt
mon hoc tốt,tốt
không nhận xét,tốt
Giảng viên giảng dạy nhiệt tình nội dung bài học sinh động và thực tế,tốt
thầy giảng bài hiệu quả dễ hiểu,tốt
Giáo viên dạy tốt,tốt
giúp sinh viên hiểu được nhiều vấn đề,tốt
thây day tôt nhưng chi dân chưa nhiêt tinh,tốt
tốt,tốt
giảng viên nhiệt tình vui tính,tốt
Good,tốt
 tiết buổi gây cảm giác mệt cho sinh viên,tốt
ok,tốt
Tốt,tốt
tốt,tốt
Thầy nhiệt tình chu đáovui tính ,tốt
Thầy dạy tốt,tốt
không ý kiến,tốt
Thầy dạy tận tâm quan tâm sinh viên,tốt
Thầy cho đề thi quá khó,tốt
Không có ý kiến,tốt
ok,tốt
tốt,tốt
có tâm,tốt
Thầy dạy nhiệt tốt nhiệt tình,tốt
thầy tốt,tốt
tốt,tốt
tôt,tốt
tốt,tốt
thầy dạy tốt,tốt
giáo viên dạy dể hiểu,tốt
Giảng viên có kiến thưc sâu rộng và trình bày chính xác các kiến thức cơ bản của môn học giảng dạy nhiệt tình nội dung rõ ràng và dể hiểu khách quan công bằng trong đánh giá kiểm tra rất hài lòng với giảng viên giảng dạy môn học này và rất thích học môn này,tốt
chất lượng truyền đạt kiến thức tốt,tốt
Cảm ơn thầy,tốt
không,tốt
Tốt môn học được thầy truyền đạt rất hấp dẫn,tốt
Không có đề xuất,tốt
Giang viên dạy tốt,tốt
thầy rất nhiệt tình,tốt
tích cực tốt,tốt
Không có,tốt
TOT,tốt
tốt,tốt
Thầy có phong cách giảng dạy thân thiện dễ gần dễ tiếp thu luôn khuyến khích sv tìm hiểu sâu về các kiến thức từ cơ sở đến chuyên sâu,tốt
môn học hay và thú vị,tốt
Không có ý kiến thêm,tốt
Tuy giảng viên nhiệt tình nhưng cách truyền đạt dễ khiến sinh viên buồn ngủ,tốt
em không có nhận xét,tốt
kiến thức xâu  nhiệt tình,tốt
không co nhan xet gi them,tốt
Thầy dạy dễ tiếp thu bài,tốt
thầy dạy rất chi tiết,tốt
thầy dạy quá nhanh và không dễ hiểu,tốt
Giảng viên giảng dạy hay và dễ hiểu ,tốt
Hơi khó,tốt
tốt,tốt
Tốt,tốt
Giảng viên nhiệt tình,tốt
thầy dạy hay và dễ hiểu,tốt
tốt,tốt
thầy dạy tốt,tốt
nhiệt tình,tốt
thầy giảng bài rất dễ hiểu,tốt
tốt,tốt
giao vien nhiệt tình,tốt
Bình thường,tốt
Hài lòng,tốt
Môn học nên áp dụng thêm các ví dụ thực tế bên ngoài vào trong môn học tránh gây khô cứng bài giảng,tốt
Thầy dạy oke  điểm số cũng dc ,tốt
Thầy dạy hay dễ hiểu,tốt
Không có,tốt
Tôt,tốt
Giảng viên thân thiện dạy dễ hiểu  có kiến thức sâu rộng,tốt
Hài lòng,tốt
Rât hai long,tốt
hai long,tốt
Khá hài lòng,tốt
Giảng viên vui vẻ tận tình,tốt
good,tốt
Không co ý kiến,tốt
dạy tốt,tốt
doi voi mon hoc nay tuong doi khoKien thuc nang caovi the GV huong dan can huong dan chi tiet hon de sinh vien nam bat va hieu ro  van de hon,tốt
thầy tận tình với sinh viên,tốt
Không có ý kiến,tốt
ok,tốt
quá nhiều nhưng thời gian hạn chế,tốt
Chương trình quá nặng Thời gian chồng lên với thời gian thực tập nên không đạt dc chất lượng tốt,tốt
không có,tốt
Ổn,tốt
Thay giao vien tốt hơn,tốt
tốt,tốt
không có ý kiến,tốt
Thầy như Mèo Ú Doraemon  Luôn có những thứ sv cần ,tốt
Rất tốt,tốt
môn học hết sức bổ ích và thực tế giáo viên giảng dạy rất nhiệt tình và mở rộng thực tiễn rất hay,tốt
cô dạy tốt,tốt
co dạy nhiệt tình de hieu,tốt
Không,tốt
Tốt,tốt
thầy dạy nhiệt tình,tốt
Tốt,tốt
Dạy tốt  dễ hiểu,tốt
HÀI LÒNG,tốt
Không có,tốt
không ý kiến,tốt
bình thường,tốt
không có,tốt
Không có ý kiến,tốt
Thầy giáo khó chịu khá khắt khe Nhưng được cái dạy khá dễ hiểu bài,tốt
dạy nhiệt tình có trách nhiệm,tốt
được,tốt
không co ý kiến,tốt
Giáo viên dạy tốt,tốt
Tốt,tốt
tốt,tốt
dạy rất nhiệt tình,tốt
thầy giảng dạy nhiệt tình tận tình với sinh viên,tốt
e không có ý kiến,tốt
Không,tốt
không,tốt
tốt,tốt
giáo viên nhiệt tình vui vẻ trang bị cho sinh viên nhiều kiến thức chuyên sâu mở rộng,tốt
Giáo viên dạy tốt,tốt
ok,tốt
Không có đề xuất gì thêm,tốt
Thầy dạy tốt,tốt
thầy vui tính,tốt
Không có vấn đề gì,tốt
thầy dạy dễ hiểu bài,tốt
thầy dạy tốt hướng dẫn nhiệt tình ,tốt
Giảng viên dạy tốt,tốt
tốt,tốt
Ko,tốt
thầy dạy dể hiểu ôn rất kỉ,tốt
tốt,tốt
thây day tôt truyên đat dê hiêu,tốt
Giảng viên dạy tốt dễ hiểu,tốt
Giảng viên giảng dạy nhiệt tình,tốt
K có,tốt
Tốt,tốt
Không có ý kiến ,tốt
giúp nắm được các kiến thức cơ bản về quản lí sử dụng dữ liệu,tốt
không có nhận xét,tốt
Hỗ trợ sinh viên trong quá trình học để sinh viên tiếp thu kiến thức dễ dàng,tốt
tốt,tốt
không có ý kiến gì thêm,tốt
thầy chuẩn bị chu đáo ,tốt
Cô dạ rất tốt,tốt
Tôi không thích giáo viên này,tốt
không co ý kiến,tốt
Tốt,tốt
Không,tốt
giảng viên thiếu nhiệt tình chỉ bảo sinh viên ,tốt
Không có ý kiến,tốt
giáo viên tốt giảng dạy hay,tốt
Không có gì,tốt
cô day nhiêt tinh,tốt
rất hai long ,tốt
Không có ý kiến,tốt
thầy dạy hay,tốt
Cô dạy rất tốt,tốt
GV tuong doi tốt,tốt
Thầy dạy tôtnhiệt tình với công việc và rất có tâm vói công việc,tốt
Kiến thức môn học Cơ sở dữ liệu rất cần cho sinh viên giúp sinh viên có khả năng tư duy tốt hơn tạo điều kiện để học các môn chuyên ngành về CNTT,tốt
Giảng vien giảng dậy rất nhiệt tình,tốt
Tốt,tốt
Sửa đề sai nhiều qua loà ,tốt
Nâng cấp phòng máy để sinh viên dễ dàng thực hành và tiếp cân công nghệ,tốt
không có ý kiến,tốt
Giảng viên có kiến thức sâu rộng và nhiệt tình trong giảng dạy,tốt
không,tốt
không có ý kiến,tốt
Thầy rất nhiệt tình ,tốt
tốt,tốt
Thầy chấm kiểm tra còn hơi khó ,tốt
toi không co ý kiến gi them,tốt
tôt,tốt
Không có nhận xét gì thêm,tốt
rất hài lòng,tốt
Thầy dạy hay,tốt
Không có ý kiến,tốt
không ý kiến,tốt
em không có ý kiến gì,tốt
Dạy rất tốt,tốt
không co,tốt
Tốt,tốt
được,tốt
em rất thích cách giảng dạy của thầy  em mong được hợp tác với thầy trong các môn học sắp tới ,tốt
giảng viên dạy dễ hiểu,tốt
Trung Binh,tốt
Máy tính quá chậm để học môn này mất  thời gian thực hành trên lớp vì dàn máy tính dẫn đến khi thi giữa kỳ một số câu trong đề sinh viên chưa được tiếp xúc nếu không làm bài ở nhà  Có tiết còn không thể thực hành với dàn máy tính,tốt
Khong,tốt
giảng viên dạy tốt theo chương trình và rất dễ hiểu,tốt
Chưa nhiệt tình,tốt
Cô dạy rất tốt quan tâm sinh viên,tốt
rất tốt không có đề xuất gi hơn,tốt
Trắc nghiệm nên chỉ biết cắm đầu học đề cương thôi ,tốt
Nhìn chung giảng viên rất nhiệt huyết nhưng lại k dứt khoác thời gian kiểm tra Lúc trong lớp bảo là  hôm sau thi nhưng hôm sau lại bảo thitrong khi đó lớp trưởng lại thông báo cho sinh viên trong lớp trước  phút thi Báo trên facebookKhông phải lục nào sinh viên cũng onl facebook,tốt
Tốt,tốt
giáo viên giảng dạy khá tốt không có ý kiến gì thêm,tốt
cô dạy hay,tốt
toàn tự học ,tốt
tốt,tốt
không có ý kiến,tốt
ok,tốt
không có nhận xét,tốt
không,tốt
Cô rất vui tính ,tốt
hài lòng,tốt
Giảng viên này dạy không đầy đủ về mặt lý thuyết và chuyên sâu về môn học này dạy khá sơ sài và không được rõ ràng,tốt
Không có nhận xét,tốt
Cô bớt điệu lại đi ,tốt
thay dạy de hieu,tốt
Tốt ,tốt
Tôt,tốt
Tốt,tốt
tốt,tốt
hơi khó hiểu,tốt
thay rất nhiệt tình va tan tam co kien thuc chuyen mon sau ,tốt
Thầy dạu nhiệt tình hướng dẫn và đưa ra nhiều lời khuyên bổ ích cho sinh viên,tốt
Giảng viên nhiệt tình giảng bài dễ hiểu,tốt
Tuyệt vời ,tốt
có kiến thưc sâu rộng và trình bày chính xác các kiến thức cơ bản  giảng dạy nhiệt tình,tốt
giảng viên giảng dạy tốt,tốt
tốt,tốt
giáo viên nhiệt tình,tốt
Có nhiều ví dụ minh họa hay cho bài giảng,tốt
dễ hiểu,tốt
rất thích cách giảng dạy của thầy học được nhiều kiến thức bên ngoài cũng như chuyên môn,tốt
rất tam huyet,tốt
THẦY GIÁO VUI VẺ HÒA ĐỒNG CHẤT LƯỢNG,tốt
cô rất nhiệt tình và thân thiện với sinh viên,tốt
Mong sẽ gặp lại thầy môn hệ quản trị CSDL,tốt
Không ý kiến,tốt
thầy dạy nhiệt tình,tốt
cam on thay,tốt
Thầy rất tâm huyết,tốt
hoàn toàn tốt ,tốt
tốt,tốt
Tốt,tốt
Thầy dạy tốt nhưng mà bài giảng hơi mờ khó nhìn,tốt
Thầy vui tính dạy bài rất dễ hiểu truyền đạt cho sinh viên nhiều kĩ năng và kinh nghiệm thực tế chứ không phải chỉ bám theo lý thuyết,tốt
thầy rất vui tính v ,tốt
Thầy dạy rất nhiệt tình,tốt
GV dạy tốt,tốt
giảng viên tốt hài hước,tốt
Chưa nhiệt tình còn sử dụng laptop trong giảng dạy,tốt
không,tốt
không nhan xet,tốt
tốt,tốt
thầy dạy nhiệt tình,tốt
Không có ý kiến,tốt
tôt thich hoc,tốt
không có,tốt
Thầy giảng bài rất chi tiết ,tốt
Ngon hay có tâm ,tốt
Giảng viên luôn quan tâm giúp đỡtâm huyết với sinh viên bài giảng sinh động nội dung sát với thực tế,tốt
Thầy dạy cuốn hút sinh viên,tốt
không có đề xuất gì,tốt
thầy giảng hay và nhiệt tình truyền đạt nhiều kiến thức bổ ích,tốt
Không có ý kiến gì thêm,tốt
giảng dạy nhiệt tình vui tính dễ hiểu,tốt
tốt,tốt
Tốt,tốt
Không có nhận xét gì thêm,tốt
Không có,tốt
Không có đề xuất,tốt
giảng hay,tốt
Thầy dạy vui tính có áp dụng thực tế cao quan tâm đến học sinh,tốt
Tốt,tốt
Thầy Phết dạy rất chi tiết dễ hiểu  nhiều tài liệu tham khảo rất bổ ích Công bằng và khách quan trong việc đánh giá điểm quá trình cũng như điểm số của Sinh Viên ,tốt
Tốt,tốt
tốt,tốt
Gắt,tốt
giang dạy tốt nhung diem cuoi ky khá la gat gao,tốt
Thầy giảng dạy nhiệt tình hỗ trợ sinh viên tích cực Nên đổi phòng học có chất lượng âm thanh và máy chiếu tốt hơn,tốt
Môn học hay giảng viên nhiệt tình,tốt
Tốt,tốt
thầy tận tình với sinh viên và dạy hay,tốt
Thầy dạy rất tốt,tốt
Gv dạy nhiệt tình dê hiểu,tốt
Tuyệt vời,tốt
Môn học bổ ích cho mọi sinh viên đang theo đuổi lập trình thầy dạy nhiệt tình bài giảng hay,tốt
không,tốt
không có,tốt
không có ý kiến,tốt
Tốt,tốt
thầy giảng nhiệt tình hướng dẫn tận tình cho sinh viên,tốt
Giáo viên có trách nhiệm nhiệt tình hết mình với sinh viên,tốt
Một người thầy như người chathan thiện vui tính truyền đạt kiếnthuc rất dễ hiểu và nhiệt tình,tốt
rất hài lòng,tốt
thầy rất nhiệt tình tận tâm hướng dẫn sinh viên Cung cấp nhiều kiến thức cho sinh viên trong cũng môn học cũng như bên lề,tốt
thầy rất nhiệt tình vui vẻ và gần với sinh viên,tốt
Giảng viên giảng dạy hay thu hút nhiệt tình,tốt
Tuyệt người thầy đầy trắc nhiệm với sinh viên,tốt
thầy giảng bài hiệu quả dễ hiểu,tốt
không nhận xét,tốt
tốt,tốt
Tốt,tốt
Môn học thú vị thầy rất nhiệt tình,tốt
rất tốt,tốt
giáo viên dạy dể hiểu,tốt
Đây là  trong số những giảng viên giảng bài và dạy học hay nhất khoa,tốt
tốt,tốt
Thầy dạy rất hay luôn tạo điều kiện tốt nhất cho học sinh thấy hứng thú với môn học,tốt
Em cảm ơn Thầy đã truyền đạt những kiến thức bổ ích về môn Công nghệ phần mềm,tốt
có,tốt
thầy dạy tốt nhiệt tình,tốt
Hoàn hảo,tốt
Thầy có phong cách giảng dạy thân thiện dễ gần dễ tiếp thu luôn khuyến khích sv tìm hiểu sâu về các kiến thức từ cơ sở đến chuyên sâu,tốt
bình thường,tốt
tốt,tốt
tốt,tốt
Thầy dạy tốt nhiệt tình,tốt
Tốt,tốt
cảm thấy hài lòng,tốt
nhiệt tình hướng dẫn đồ án,tốt
giảng dạy nhiệt tìnhdể hiểu,tốt
thầy dạy nhiệt tình dễ hiểu,tốt
Giáo viên dạy tốt nhiệt tình,tốt
Nếu nói thầy là số  thì không ai là số ,tốt
Giảng viên giảng dạy hay và dễ hiểu ,tốt
không,tốt
thầy dạy dễ hiểu và sinh viên tiếp thu nhanh,tốt
Môn học hay ,tốt
Thầy rất nhiệt huyết,tốt
không,tốt
Giảng viên nhiệt tình trong giảng dạy Cung cấp nhiều kiến thức bổ trợ cho môn học,tốt
thầy dạy rất tốt và nhiệt tình,tốt
TOT,tốt
Hay,tốt
Thầy giảng hay và lớp học sôi động,tốt
Hài lòng,tốt
dạy nhiệt tình quan tâm đến sinh viên,tốt
Không có ý kiến khác,tốt
Thầy khá hài hước  dí dỏm khi dạy  gây hứng thú và dễ tiếp thu bài học,tốt
Tốt,tốt
Môn học rất hay,tốt
Thầy vui tính nhiệt tình chu đáo trong giảng dạy,tốt
Giảng viên hướng dẫn chu đáo,tốt
Không có ý kiến ,tốt
Thầy dạy tốt,tốt
giảng viên tích cực,tốt
tôt,tốt
Thầy vui tính  nhiệt tình,tốt
tốt,tốt
good,tốt
Thầy dạy rất tốt giúp đỡ sinh viên rất nhiều trong công việc học tập,tốt
tốt,tốt
Thầy giảng dạy trên cả tuyệt vời cung cấp cho em rất nhiều kiến thức chuyên sâu lẫn ngoài ngành Mong thầy là người hướng dẫn e môn đồ án chuyên ngành sắp tới,tốt
rất tốt,tốt
mon hoc tốt,tốt
Bài giảng đầy đủ kiến thức thực tế với bê ngoài Nhiệt tình giúp đỡ sinh viên,tốt
môn học cung cấp nhiều kiến thức hay ,tốt
Giảng viên dạy tốt,tốt
không ý kiến,tốt
Không có,tốt
Thầy dạy tận tình tâm huyết Không có ý kiến về môn học,tốt
rất tốt,tốt
không co,tốt
không có gì,tốt
Không có,tốt
thầy rất nhiêt tình tâm huyết tận tình chi dạy chúng em và rất thân thiện với sinh viên,tốt
Giáo viên dạy tốt tốt,tốt
Nhiệt tình,tốt
tốt,tốt
lớp học số lượng quá đông  giảng viên không kiểm soát nổi  ồn ào  phòng học nóng,tốt
tốt,tốt
Thầy dạy rất nhiệt tình em thích cách dạy của thầy,tốt
không có,tốt
không có,tốt
chất lượng truyền đạt kiến thức tốt,tốt
Không co đề xuất,tốt
Thầy tuyệt vời,tốt
em không có nhận xét,tốt
thay dạy rất hay,tốt
hai long hêt,tốt
Giảng Viên dạy tốt,tốt
tốt,tốt
tốt,tốt
Lần đầu tiên gặp thầy là ở môn Bảo mật thông tin từ cách dạy đến cách đối xử với học sinh rất tốtThầy dễ tính hiền hòa hòa đồng từ đầu việc giảng dạy của thầy đã rất tốtMong thầy vẫn còn tiếp tục dạy chúng em ở những môn liên quan sắp tới,tốt
mon hoc khá hay va bo ich,tốt
không ý kiến,tốt
Giảng viên có kiến thức sâu rộng trình bày chính xác cụ thể về môn học mà giảng viên đảm nhận nhiệt tình trong giảng dạy nội dung rõ ràng và rất hài lòng về giảng viên dạy môn này,tốt
Bài giảng chưa sinh động,tốt
việc giảng dạy dễ hiểu tận tình,tốt
Giảng viên dạy nhiệt tình có kiến thức sâu rộng,tốt
tốt,tốt
Giảng viên có kiến thưc sâu rộng và trình bày chính xác các kiến thức cơ bản của môn học,tốt
TỐT,tốt
Tốt,tốt
Thầy dạy vui hài hước,tốt
cần cố gắng nâng cao kiến thức truyền đạt nhiều hơn,tốt
ok,tốt
tốt,tốt
không,tốt
rất tốt,tốt
Thầy tạo ra môi trường học tập tích cực dạy tận tình và rõ ràng,tốt
Môn học kiến thức rộng,tốt
Không có ý kiến,tốt
không có nhận xét,tốt
bình thường,tốt
Rất tốt ,tốt
ok,tốt
tốt,tốt
thầy dạy dễ hiểu,tốt
tốt,tốt
Giáo viên dạy tốt Nhiệt tình bài giảng hay dễ hiểu,tốt
Thầy giảng dạy rất nhiệt tình đúng với nội dung bài học và hòa đồng với sinh viên,tốt
Thầy dạy dễ hiểu,tốt
rất tốt,tốt
đòng ý,tốt
Thầy rất nhiệt tình và giảng bài dễ hiểu,tốt
Thầy dạy ổn,tốt
không,tốt
bình thường,tốt
Hay,tốt
tốt,tốt
Không có,tốt
Tốt,tốt
không co đê xuât,tốt
tốt,tốt
rất tốt ,tốt
Giang viên dạy tốt,tốt
Thầy dạy nhiệt tình chỉ dẫn rất nhiều kiến thức mới,tốt
thầy giảng nhiệt tình và dễ hiểu,tốt
Giảng viên tốt,tốt
Thầy dạy rất hay không khí học thoải mái,tốt
thầy dạy lý thuyết dễ hiểu hướng dẫn làm đồ án môn học rất nhiệt tình,tốt
không,tốt
tốt,tốt
Tốt,tốt
môn học tốt,tốt
Giảng viên giảng dạy nhiệt tình trình bày nội dung bài giảng rõ ràng và dễ hiểu,tốt
Nhiệt tình vui vẻ,tốt
Thầy dạy tốt,tốt
Thầy dạy rất nhiệt tình,tốt
tốt,tốt
thầy vui vẻ nhiệt tình,tốt
tốt,tốt
Nghỉ  buổi  điểm cuối kì là quá nhiều,tốt
Giảng viên rất nhiệt tình với sinh viên không có đề xuất gì với môn học này,tốt
Hơi khó hiểu,tốt
thầy giảng nhiệt tình  dễ hiểu ,tốt
Chưa hiểu bài kĩ vì cách giảng của giảng viên,tốt
không ý kiến,tốt
tốt ,tốt
Thầy nhiệt tình tận tình giúp đỡ cho sinh viên Bên cạnh đó mong thầy giảng dạy chậm rãi lại thì sẽ giúp cho sinh viên tiếp thu tốt hơn,tốt
giảng viên nhiệt tình giảng dạy dể hiểu,tốt
can sua bai tap nhiu hon ,tốt
Thầy nên cho lớp làm nhiều bài tập hơn,tốt
Không ý kiến,tốt
Thầy dạy quá cao siêu,tốt
Tôi nghĩ GV rất có trách nhiệm trong công tác giảng dạy,tốt
GV dạy chậm và có phần hơi lan man,tốt
E rất quý thầy ,tốt
thầy dạy tốt,tốt
Giảng viên giảng dạy chưa thực sự dễ hiểu và hiệu quả,tốt
rất tốt,tốt
Không có ý kiến,tốt
thầy dạy tốt,tốt
giảng viên dạy chưa hiểu bài cho lắm ,tốt
thầy có nhiều kinh nghiệm trong việc giảng dạy,tốt
Kiến thức thầy quá sâu nên dạy hơi khó hiểu ,tốt
tốt,tốt
Nhiều phần giảng viên dạy quá nhanh ,tốt
Tốt,tốt
Cao siêu quá nên sinh viên không hiểu gì,tốt
mong thầy tiếp tục dạy,tốt
Hơi đi nhanh trong việc giảng dạy khó hiểu,tốt
Không ,tốt
Không có ý kiến,tốt
Thầy dạy hơi nhanh,tốt
Dạy ít tiếp thu đc,tốt
Môn học tốt có nhiều kiến thức hay,tốt
Thầy dạy toán mà dạy sai công thức,tốt
Thầy dạy tạm ổn nhưng theo em nghĩ thầy cần giảm bớt học lý thuyết vì em thấy nặng về lý thuyết số lượng tiết làm bài tập không nhiều ,tốt
không,tốt
Thây gi day nhiêt tinh nhưng thây giang bai hâu như ca lơp không hiêu,tốt
thầy ít giải thích và lượt vài lời giảng và hiền ,tốt
mon hoc giup sinh vien biet them nhieu phuong phap giai toan moi,tốt
Tốt,tốt
thầy nhiệt tình,tốt
Không có đề xuất thêm ,tốt
Day nhiệt tình,tốt
Được,tốt
tốt,tốt
Thầy dạy dễ hiểu bám sát bài nhiệt tình,tốt
Tốt,tốt
Giảng ciên nhiệt tình,tốt
em không có ý kiến,tốt
tốt,tốt
Giáo viên cho nhiều bài tập giúp sinh viên hiểu bài và tạo nhiều cơ hội cho sinh viên gỡ điểm,tốt
em không có ý kiến gì thêm,tốt
Thây day rât hay co tâm,tốt
giang vien giang bai nhiệt tình quan tam hoc sinh,tốt
không có ý kiến bổ sung,tốt
tốt,tốt
Tốt,tốt
Tốt,tốt
Không có ý kiến gì thêm ,tốt
Không có ý kiến,tốt
thầy nhiệt tình giảng dạy luôn chỉ tụi em những chỗ đáng lưu ý,tốt
Không,tốt
Cần có sự sinh động hơn,tốt
Tốt,tốt
Không,tốt
TỐt,tốt
Thầy rất nhiệt tình dạy dễ hiểu,tốt
Giảng viên tận tâm đơn giản hoá vấn đề giúp sinh viên dễ dàng tiếp thu,tốt
Tốt,tốt
không có ý kiến gì thêm,tốt
Thầy giảng rất dễ hiểu,tốt
thầy rất tận tâm và công minh trong việc giảng dạy,tốt
Thầy dậy tốt,tốt
Tốt,tốt
Môn hoc khá hay,tốt
Tốt,tốt
môn học cần thiết,tốt
Cô dạy rất hay Em rất thích,tốt
Không,tốt
Không có nhận xét,tốt
cô dạy rất thực tế dễ hiểu bài,tốt
Không có ý kiến,tốt
được,tốt
Tốt,tốt
đc,tốt
Tốt,tốt
Tôt,tốt
hay nhiệt tình,tốt
cô nhiệt tình,tốt
Hay giảm học phí ạ,tốt
tốt,tốt
Giáo viên rất nhiệt tình trong giảng dạy,tốt
Giang viên day tôt nhiêt tinh,tốt
Giảng viên hỉang hơi nhanh ,tốt
nhiệt tình  de hieu,tốt
Không,tốt
không,tốt
không có nhận xét và đề xuất,tốt
dạy hay nhiệt tình tốt,tốt
Tốt,tốt
Cô dạy dễ hiểu và hiền,tốt
Cô dạy rất nhiệt tình,tốt
Cô dạy haydễ hiểunhiệt tìnhvui vẻ ,tốt
Cô day tôt,tốt
Môn học hơi khô khán giảng viên nhiệt tình nên đưa nhiều ví dụ hơn để áp dụng,tốt
Tốt,tốt
Thú vị,tốt
giảng viên giảng dạy nhiệt tình,tốt
Không,tốt
Tốt,tốt
cô giảng hay,tốt
có gìang de hieu va rất nhiệt tình,tốt
Tốt,tốt
Giảng viên tận tình,tốt
giảng dạy tốt hay,tốt
Cách giảng dạy chưa làm sinh viên tiếp thu tốt,tốt
cô dạy cần đi sâu vào kiến thức của sinh viên có những điểm cô dạy nhanh sinh viên không nắm kịp ,tốt
không nhận xét,tốt
giảng viên rất nhiệt tình,tốt
Cô dạy hay Nhiệt tình ,tốt
Tốt,tốt
dạy hoc tan tam de hieu bai,tốt
giảng viên dạy hay nhiệt tình làm cho sinh viên nắm bài nhanh ,tốt
tốt,tốt
Giảng viên dạy khó hiểu tính khá nóng nảy kiến thức truyền đặt tương đối tuy nhiên sinh viên tiếp nhận được rất ít,tốt
Chưa tốt,tốt
Cô dạy nhiệt tình Em rất cám ơn ,tốt
Nhiều chỗ chưa hiểu,tốt
Cô có hệ thống bài giảng sâu sắc,tốt
cô trẻ nhiệt tình dễ mến,tốt
Hay tuy nhiên có nhiều chỗ chưa hiểu rõ ,tốt
cô dạy rất hay và dễ hiểu,tốt
k ý kiến,tốt
Không ý kiến,tốt
Rất hay  rất nhiệt tình,tốt
môn học giúp tìm hiểu sâu vào các phép tính toán ,tốt
Giảng viên nhiệt tình giúp đỡ sinh viên,tốt
Tạm,tốt
khá,tốt
hài lòng với giáo viên d ,tốt
Không,tốt
thân thiên với sinh viên giảng bài dễ hiểu,tốt
Tôta,tốt
Cô rất nhiệt tình với lớp luôn vui lòng trả lời các câu hỏi của sinh viên cũng như sẵn sàng giảng lại bài học khi sinh viên chưa nắm rõ Phương pháp giảng của cô rất hay giúp sinh viên dễ hiểu bài hơn Rất thích cô ,tốt
không,tốt
gv dạy tốt,tốt
dạy dễ hiểu,tốt
Tốt,tốt
Không,tốt
Tốt,tốt
Tôt,tốt
Tốt,tốt
Rất tốt,tốt
Cô day rât tôt,tốt
hài lòng,tốt
Môn học hay giảng viên tận tình ,tốt
ổn,tốt
Tốt,tốt
Giáo viên rất nhiệt tình,tốt
giang viên day tôt dê hiêu,tốt
Không co nhân xet nao khác,tốt
không,tốt
tốt,tốt
Cô dạy nhiệt tình nhưng có nhiều kiến tthức quá nên không hiểu lắm,tốt
Cô dạy rất nhiệt tình vui vẻ,tốt
tốt,tốt
Tốt,tốt
