Nhận xét,Cảm xúc
Dể hiểu ,tốt
Cô giảng hay không gây buồn ngủ,tốt
Không phải mất thời gian để đi đến trường,tốt
Ở nhà không cần chạy xe đến trường,tốt
"tinh thần tự học ngày càng phát huy, đã quen với việc học online",tốt
Tiết kiệm thời gian chi phí,tốt
a,không liên quan
ko,không liên quan
Cô giảng nhiệt tình ,rất tốt
"Không cần phải mất thời gian đi lại, tiết kiệm thời gian",tốt
K oinf ào,tốt
"đường truyền internet ổn định, đầy đủ thiết bị sử dụng học trực tuyến, sự tập trung cao, đáp ứng được yêu cầu của giảng viên",rất tốt
"Cô rất nhiệt tình với sinh viên, hỗ trợ, giảng dạy hết mình, rất dễ hiểu, dễ nắm bắt được bài học. Cô dạy rất có tâm. Cho cô tận 100đ",rất tốt
Không,không liên quan
Thuận lợi,tốt
"Học tại nhà , đỡ phải đi",tốt
"Thoải mái, không đi muộn",tốt
K có,không liên quan
Dễ dàng tiếp thu ,tốt
kHÔNG CÓ,không liên quan
"Đi học đúng giờ, biết thêm nhiều về các phần mềm, gần với giảng viên hơn.",tốt
Không mất thời gian di chuyển,tốt
có đầy đủ thiết bị học tập,tốt
có khả năng quản lý thời gian học và thời giagian làm việc khác hợp lý,tốt
KHÔNG,tốt
KHÔNG CÓ,tốt
Cần đưa học online thành 1 tùy chọn cho các sinh viên có nhu cầu,tốt
"quản lý thời gian, ",tốt
Không có ý kiến,không liên quan
không di chuyển nhiều,tốt
có thể xem lại bài nhiều lần,tốt
Sắp xếp được thời gian,tốt
Nhanh gọn không phải đi lại,tốt
không,không liên quan
Dễ hiểu,tốt
Ở nhà,tốt
Chủ động giờ giấc,tốt
Chống dịch bệnh,tốt
Thuận tiện ,tốt
Hiểu bài,tốt
"đường truyền internet; thiết bị sử dụng học trực tuyến; năng lực tự học của bản thân như sự tập trung, quản lý thời gian,…; đáp ứng của giảng viên; giao diện chương trình học; đã quen học tập theo phương pháp truyền thống; kỹ năng sử dụng công nghệ để học tập trực tuyến",rất tốt
Không,không liên quan
Nghe giảng rõ hơn,tốt
"Không mất thời gian để chạy đến trường, tránh được việc lây nhiễm covid",tốt
Không phải đi từ cơ sở này sang cơ sở khác,tốt
Không gặp vấn đề về thời gian,tốt
dễ hiểu bài hơn,tốt
Thoải mái,tốt
không mất thời gian di chuyển,tốt
"Thuận tiện về mặt thời gian, không cần phải di chuyển đến trường",tốt
Tương tác giữa giảng viên nhanh hơn dễ hơn,tốt
thời gian,không liên quan
dễ hiểu,tốt
Thoải mái,tốt
. ,không liên quan
không,không liên quan
Kẹt xe,không liên quan
"Không mất thời gian di chuyển, tiện lợi",tốt
không,không liên quan
Không phải di chuyển,tốt
"Tiếp xúc với nhiều hình ảnh thực tế, rèn luyện khả năng tin học",tốt
Không có,không liên quan
Khoẻ,bình thường
Thoải mái tg,tốt
Vào lớp đúng giờ,tốt
"Tiết kiệm thời gian, tránh tiếp xúc với dịch bệnh",tốt
Không có gì,không liên quan
.,không liên quan
Không,không liên quan
Học được mọi lúc mọi nơi,tốt
Được ở gần gia đình,tốt
Hạn chế được việc di chuyển,tốt
Dễ tương tác với giảng viên,tốt
đỡ mất thời gian trong việc đi lại,tốt
steh,không liên quan
Có thể trách được dịch,tốt 
Thi đc điểm cao ,tốt
Nắm bắt kiến thức,tốt
dễ làm bài kiểm tra,tốt
thầy giảng bài hay hơn,rất tốt
không phải đi ra ngoài tránh được dịch bệnh,rất tốt
rất tệ,không liên quan
"học hiểu được thầy giảng, đường truyền trực tuyến tốt...",tốt
Không,tốt
"Có thể nghe giảng bài bất cứ ở đâu, không cần dậy sớm để chuẩn bị đến trường",không liên quan 
Ko bị muộn học,tốt 
Không,không liên quan 
thời gian thoải mái,tốt
"Có nhiều thời gian chuẩn bị,  không phải đi lain nhiều",tốt
"Có đầy đủ thiết bị thăm gia học tập , kết nối mạng ổn định ",tốt
"Dễ nghe giảng viên giảng hơn, không tốn phí xã hội",tốt
Tiết kiệm thời gian,tốt
không phải di chuyển nhiều,tốt
Không có,không liên quan 
Tiện,tốt
Mang lại sự linh hoạt về thời gian,tốt
Thầy cô luôn hiểu cho sinh viên khi bị lỗi mạng,tốt
Linh hoạt và tiết kiệm được thời gian,tốt
 Tiện lợi,tốt
tiện nghi,tốt
Tiện lợi trong việc học không phải đi ra ngoài an toàn cho sức khỏe,tốt
tiết kiệm thời gian,tốt
Thời Gian,tốt
Thoải mái,tốt
Không,không liên quan 
Thời gian thoải mái ,tốt
Thoải mái với việc học,tốt
Không mất thời gian đi xe,tốt
Linh động thời gian ,tốt
"Học dễ hiểu , giảng viên nhiệt tình",tốt
Dễ tham gia các môn kế tiếp,tốt
Có thể tham gia học khi không tới trường được ạ,tốt
Tránh dịch,tốt
ít tốn thời gian,tốt
Tiện lợi dễ lấy điểm cao,tốt
VUI,tốt
trao doi tot,tốt
không phải đi lên trường ,tốt
học đúng giờ,tốt
đỡ tốn tiền xăng,tốt
ko trễ giờ,tốt
đã quen với phương pháp học online,tốt
Dễ dàng  thu xếp cho việc học,tốt
Kh bị ảnh hưởng xung quanh,tốt
không có,không liên quan 
không phải di chuyển,tốt
Học hiệu quả hơn offline,tốt
"tiện lợi đia điểm, tránh tiếp xúc người khác trong mùa dịch ",tốt
Ok,bình thường
không,không liên quan 
Không,không liên quan 
có thể record lại bài học,tốt
không,không liên quan 
tốt,tốt
ko mất thời gian di lại,tốt
không,không liên quan 
Thời gian và không gian linh hoạt,tốt
quản lý thời gian,tốt
không có gì ý kiến,không liên quan 
Ko,không liên quan 
k,không liên quan 
dễ,không liên quan 
thoải mái,tốt
Ko,không liên quan 
khoong,không liên quan 
k,không liên quan 
"Dễ học, học mọi lúc mọi nơi",tốt
không ,không liên quan 
.,không liên quan 
gần nhà,tốt
k,không liên quan 
Không,không liên quan 
Tiện lợi,tốt
Dạ em có thể tiết kiệm được thời gian đi lại cho tiền xăng và có thể tra cứu những bài học mới kết hợp với bài giảng của Thầy/Cô ạ!,tốt
Có,không liên quan 
.,không liên quan 
Không,không liên quan 
quản lý được thời gian,tốt
không,không liên quan 
không gian yên tĩnh,tốt
Không,không liên quan 
không,không liên quan 
Không phải đi lại,tốt
tot,bình thường
ko,không liên quan 
Tiết kiệm thời gian,tốt
Gần ,bình thường 
Dễ dàng phát biểu,tốt
Không,không liên quan 
Không,không liên quan 
Tiện,tốt
Có thể an toàn hơn trong mùa dịch.không phải đi lại.,tốt
dễ dàng tham gia lớp học,tốt
quản lý tg,tốt
Tiết kiệm thời gian,tốt
tìm kiếm được nhiều tài liệu,tốt
" thiết bị sử dụng học trực tuyến tốt; năng lực tự học của bản thân như sự tập trung, quản lý thời gian,…cao; đáp ứng của giảng viên; giao diện chương trình học; đã quen học tập theo phương pháp online; kỹ năng sử dụng công nghệ để học tập trực tuyến; ...tốt",rất tốt
Học tại nhà,tốt
Có thể mọi nơi có internet,tốt
Tiết kiệm được thời gian đi lại,tốt
đỡ phải di chuyển,tốt
Thoải mái hơn trong việc tìm tài liệu học tập,tốt
năng cao khả năng tự học hơn,tốt
Không di chuyển xa,tốt
Ko coa,không liên quan 
.,không liên quan 
Thoải mái,tốt
Không bị trễ học,tốt
k,không liên quan 
rất tệ,không liên quan 
Tiện lợi,tốt
no,không liên quan 
"học được ở nhiều nơi, có thể làm nhiều thứ cùng một lúc",tốt
địa điểm,không liên quan 
" năng lực tự học của bản thân như sự tập trung, quản lý thời gian",tốt
"không phải tiếp xúc với dịch bệnh, tiện lợi",tốt
Đúng giờ,tốt
Tiết kiệm thời gian,tốt
tiết kiệm,tốt
Ở nhà ,bình thường
X,không liên quan 
"Nhanh, không kẹt xe",tốt
"Tiện lợi cho việc tham khảo tài liệu, không tốn thời gian di chuyển, không tốn tiền xăng",tốt
Dễ tìm tài liệu,tốt
Dễ tiếp thu bài ,tốt
Dễ tiếp thu,tốt
Dễ hiểu,tốt
thành thạo công nghệ,tốt
Tiện lợi,tốt
"quản lý tốt thời gian, dễ tập trung",tốt
tiết kiệm thời gian,tốt
không,tốt
Dễ lấy điểm ,không liên quan 
  ,không liên quan 
"tiết kiệm được nhiều thời gian, không cần chạy qua lại các cơ sở khác của trường.",tốt
Giao diện chương trình ,không liên quan 
Không có,không liên quan 
thuận tiện trong phòng chống dịch bệnh ,tốt
Không,không liên quan 
không,không liên quan 
Không phải di chuyển xa,tốt
Quản lý thời gian tốt hơn,tốt
Tiết kiệm tgian đi lại,tốt
Ko có,không liên quan 
"Không phải đi xa, vừa làm việc vừa học tập ",tốt
học mọi nơi,tốt
Thoải mái,tốt
.,không liên quan 
không có,không liên quan 
"đỡ mất thời gian di chuyển lên lớp, chuyển giao giữa các môn",tốt
có thể ghi hình lại quá trình giảng của giáo viên,tốt
nhanh chóng,tốt
không,không liên quan 
Không có ,không liên quan 
không cần đi lại,tốt
tiện lợi hơn khi học tại nhà,tốt
Không phải di chuyển,tốt
Tiết kiệm thời gian,tốt
Không ý kiến ,không liên quan 
Chủ động thời gian,tốt
thoải mái giờ giấc,tốt
Chủ động thời gian,tốt
tiết kiệm thời gian di chuyển,tốt
tiết kiệm thời gian đi lại,tốt
Đầy đủ thiết bị sử dụng học trực tuyến,tốt
không,không liên quan 
"tiết kiệm chi phí đi lại, thời gian đến lớp",tốt
có thể dễ dàng thao tác,tốt
Ko,không liên quan 
N/A,không liên quan 
Ko,không liên quan 
Dễ dàng học trong thời buổi dịch bệnh,tốt
thời gian di chuyển được tiết kiệm,tốt
không,không liên quan 
không,không liên quan 
An toàn phòng dịch,tốt
Tiện lợi về mặc di chuyển và thời gian,tốt
mọi nơi ddeeuf hoc duoc,tốt
tiết kiệm thời gian,tốt
rất tệ,không liên quan 
Tiết kiệm thời gian chi phí đi lại,tốt
rất thuận lợi,rất tốt
chủ động về thời gian và không gian,tốt
quản lí thời gian,tốt
Thoải mái,tốt
không có,không liên quan 
Quản lý thời gian,tốt
linh hoạt thời gian,tốt
tiện không phải đi lên trường,tốt
Khong,không liên quan 
linh hoạt,tốt
Thoải mái dễ dàng học ,tốt
Linh hoạt thời gian,tốt
.,không liên quan 
rtsrhgf,không liên quan 
đã quen với hình thức học online,bình thường
Không ,không liên quan 
"tiết kiệm thời gian, an toàn",rất tốt
Ko có,không liên quan 
Không có,không liên quan 
dễ hiểu,tốt
bình thường,bình thường 
Vào lớp dễ,tốt
Ổn,tốt
Kh bị ảnh hường xung quanh,tốt
Đầy đủ thiết bị ,tốt
tiết kiệm thời gian,tốt
tuyệt,rất tốt
Không,không liên quan 
Giảng viên tận tình,tốt
khoong,không liên quan 
Không,không liên quan 
tiết kiệm thời gian,tốt
"Dễ theo dõi, ghi chú bài giảng trên các thiết bị",tốt
tiện lợi,tốt
"dễ học, dễ nắm bắt kiến thức, tương tác được nhiều với giảng viên",tốt
Không ,không liên quan 
 Không mất thời gian di chuyển đến địa điểm học ,tốt
điểm cao,tốt
"quản lý được thời gian, đáp ứng được các yêu cầu giảng viên",rất tốt
"Giảng viên tận tình, thân thiện, cung cấp cho sinh viên nhiều tài liệu tham khảo, hỗ trợ sinh viên trong quá trình học tập",rất tốt
rất tệ,không liên quan 
tiết kiệm thờ gian,tốt
Không,không liên quan 
"Thầy nhiệt tình, luôn tạo hỗ trợ sv hết mình, giảng bài dễ hiểu",rất tốt
dễ ,tốt
  ,không liên quan 
Dễ tiếp thu bài học,tốt
dễ hiểu bài,tốt
tránh dịch bệnh covid 19,tốt
"năng lực tự học của bản thân như sự tập trung, quản lý thời gian",tốt
Thoải mái,tốt
Quản lý được thời gian,tốt
Ít tốn thời gai  đi lại,tốt
Ko có,không liên quan 
tiện lợi,tốt
Thoải mái,tốt
nhanh chóng,tốt
Khong,bình thường
Không có,không liên quan 
dễ tiếp thu,tốt
Ko có ,bình thường
tiện lợi không cần đi lại,tốt
tiện lợi thời gian,tốt
Đầy đủ thiết bị ,tốt
"Cô dạy hay, tương tác tốt với sinh viên",tốt
"Giảng viên tận tình, thân thiện với sinh viên, hỗ trợ sinh viên trong quá trình học , hiểu tâm lý sinh viên",rất tốt
Chủ động thời gian,tốt
Chủ động thời gian,tốt
thoải mái giờ giấc,tốt
không phải lên trường,tốt
điểm cao. giảng viên lớp học vui vẻ,tốt
không tốn khoảng thời gian di chuyển đến trường,tốt
có thể dễ dàng thao tác,tốt
dễ tiếp thu,tốt
"quản lý được thời gian, kỹ năng sử dụng công nghệ trực tuyến",tốt
"Giảng viên tận tình, thân thiện với sinh viên,hỗ trợ sinh viên trong quá trình học tập,bổ sung cập nhật nhiều kiến thức mới",rất tốt
Không,không liên quan 
tiết kiệm thời gian,tốt
"dễ quản lý thời gian, ",tốt
An toàn phòng dịch,tốt
Thuận lợi về mặc thời gian di chuyển ,tốt
Không tốn chi phí đi lại,tốt
hạn chế tiếp xúc với bên ngoài trách lây nhiễm covid 19,tốt
Dễ tiếp thu bài học,tốt
Không phải đi xa,tốt
"Thoái mái về thời gian, hạn chế việc di chuyển tránh tình trạng kẹt xe",tốt
tiện lợi,tốt
Tiện lợi trong thời gian,tốt
bình thường,bình thường
"Không cần phải lên lớp, tránh tiếp xúc",tốt
"Không cần phải lên lớp, tránh tiếp xúc",tốt
tiện lợi đỡ phải di chuyển,tốt
Ok,bình thường
dễ tham gia lớp,tốt
Đỡ mất thời gian duy chuyển đến trường,tốt
không mất thời gian đến trường,tốt
không ý kiến,không liên quan 
chủ động được thời gian,tốt
dễ hiểu,tốt
dễ tiếp thu,tốt
.,không liên quan 
k có,không liên quan 
Được thoải mái,tốt
Dễ dàng thu xếp cho việc học,tốt
Thuận tiện cho việc học,tốt
Tiện lợi,tốt
"Chủ động được nhiều thứ, tiện, ko bị áp lực ",tốt
"quản lý thời gian,…",tốt
giảng viên và sinh viên có thể trao đổi nhiều hơn so với học offline,rất tốt
lớp học không bị làm ồn,tốt
thoải mái,tốt
"không phải tham gia giao thông, không tốn chi phí di chuyển hay chi phí cá nhân",tốt
Không gian thoải mái,tốt
thoải mái,tốt
"không phải tham gia giao thông, không tốn chi phí di chuyển hay chi phí cá nhân",tốt
không ạ,bình thường
Dễ hiểu,tốt
Dễ hiểu,tốt
ko ,không liên quan 
Thuận tiện trong thời gian,tốt
không mất thời gian di chuyển,tốt
ko,rất tệ
có thể học tại nhà,tốt
Học tại nhà,tốt
Đầy đủ thiết bị,tốt
Học tại nhà,tốt
đáp ứng nhu cầu học tập,tốt
Không có,tốt
Không cần lên lớp,tốt
đáo ứng đc nhu cầu học tập,tốt
đỡ tốn tiền xang,bình thường
Không phải di chuyển ,tốt
N/A,không liên quan 
N/A,không liên quan 
"Kiếm được tài liệu học, có thể quay màn hình trong trường hợp ko hiểu bài",rất tốt
tập trung hơn,tốt
thoải mái,tốt
không có thuận lợi ,tệ
  ,không liên quan 
"Không phải đến trường kẹt xe, có nhiều thời gian",tốt
"Dễ dàng, chủ động được thời gian và địa điểm. ",tốt
không,không liên quan 
k,không liên quan 
k có,bình thường
ko ,bình thường
có thể học tại nhà,tốt
thoải mái,tốt
tập trung hơn,tốt
  ,không liên quan 
Không,không liên quan 
Ít tốn thời gian,tốt
Không đi trễ,tốt
Không cần đi chuyển xa xôi ,tốt
Không ồn ào,tốt
Thời gian linh hoạt,tốt
áp ứng của giảng viên; giao diện chương trình học; đã quen học tập theo phương pháp truyền thống; kỹ năng sử dụng công nghệ để học tập trực tuyến; ...),rất tốt
không đi trễ,tốt
Quản lý được thời gian,tốt
.,không liên quan 
quản lý thời gian,tốt
bình thường,bình thường
môi trường học tập thoải mái,tốt
Quản lí thời gian,tốt
Ko có ,không liên quan 
Tất cả đều thuận lợi,tốt
Dễ quản lý thời gian,tốt
chủ động được thời gian,tốt
"hiểu quả cao, dễ hiểu, dễ tương tác với giảng viên",tốt
không ý kiến,không liên quan 
tiết kiệm,tốt
",",không liên quan 
thiết bị ,tốt
thời gian học tập,tốt
Không phải di chuyển nhiều trong thời điểm dịch bệnh phức tạp,tốt
bình thường ,tốt
Vào lớp nhanh chóng,tốt
oke,bình thường 
Không có,không liên quan 
"Dễ tập trung, dễ nghe",tốt
tập trung học,tốt
rất tệ,không liên quan 
Dễ lưu trữ,tốt
Đỡ phải chạy xe đến trường đi học ,tốt
"Tránh tiếp xúc nhiều người trong mùa dịch,",tốt
Tránh tiếp xúc nhiều người trong mùa dịch,tốt
Tiếp xúc được với thiết bị công nghệ nhiều hơn và học hỏi được kinh nghiệm làm việc nhóm online,rất tốt 
Không phải chạy xe đến trường,tốt
Thời gian linh động,tốt
.,không liên quan 
Chủ động được thời gian,tốt
Không,không liên quan 
ở nhà thoải mãi ,tốt
chủ động thời gian ,tốt
ko cần đi lên trường xa,tốt
"Dễ tập trung,không phải di chuyển",tốt
môi trường học tập thoải mái,tốt
Tất cả đều thuận lợi,tốt
Dễ nắm bắt thời gian,tốt
Không cần di chuyển xa xôi ,tốt
không,tốt
không có,không liên quan 
Hiểu bài gần như học trực tiếp,tốt
Dễ hiểu,tốt
tiết kiệm chi phí đi lại,tốt
tham gia học được mọi lúc mọi nơi,tốt
không ý kiến,không liên quan 
khong co,không liên quan 
"Hiểu bài, dễ tương tác với giảng viên",tốt
tiết kiệm thời gian,tốt
hạn chế tiếp xúc trong dịch,tốt
tiết kiệm,tốt
thiết bị,tốt
thời gian học tập,không liên quan 
Học được mọi nơi,tốt
Không phải di chuyển trong thời điểm dịch bệnh phức tạp,tốt
Môi trường học tập thoải mái,tốt
oke,bình thường
thuận tiện thời gian,tốt
D,không liên quan 
Ko,không liên quan 
Học hỏi được với môi trường làm việc online,tốt
Ít tốn thời gian đi lại,tốt
Không ý kiến ,không liên quan 
Không đi trễ,không liên quan 
rất tệ,không liên quan 
Tiện lợi,tốt
rất tệ,tốt
Hạn chế tiếng ồn,tốt
đáp ứng của giảng viên,tốt
Không đến trường,tốt
học mọi nơi,tốt
học mọi nơi,tốt
không đi trễ,tốt
Không ý kiến ,bình thường
Dễ dàng học,tốt
Không ,không liên quan 
ở nhà thoải mãi,tốt
quản lý thời gian,tốt
Không ,không liên quan 
Không ,không liên quan 
không,không liên quan 
Tiết kiệm di chuyển,tốt
Dễ hiểu,tốt
không,bình thường
không phải đi đến trường,tốt
không phải đi đến trường,tốt
bình thường,bình thường 
Nhanh,tốt
Quản lí thời gian,tốt
Nhanh,tốt
Không di chuyển nhiều,tốt
Nhanh,tốt
iếnnăng lực tự học,tốt
tự hoc ,tốt
không đi lại,tốt
Phòng tránh dịch bệnh Covid,tốt
tiện lợi,tốt
không đi lại,tốt
Phòng tránh dịch bệnh,tốt
không có,không liên quan 
Tiện lợi,tốt
Dễ tiếp thu,tốt
Dễ tiếp thu,tốt
Thời gian,tốt
không,không liên quan 
không,không liên quan 
vừa học vừa làm được những việc khác,tốt
"tìm tài liệu 1 cách dễ dàng, có thể học trong quá trình đi ra ngoài,",tốt
KHONG CO,không liên quan 
tham gia được mọi lúc mọi nơi,tốt
Không,không liên quan 
Trảnh tình hình dich bênh,tốt
Không ,không liên quan 
khong co,không liên quan 
tốt,tốt
kỹ năng sử dụng công nghệ để học tập trực tuyến,tốt
không,không liên quan 
không,không liên quan 
không,không liên quan 
không,không liên quan 
bình thường,bình thường
Không tốn thời gian di chuyển,tốt
Không tốn thời gian di chuyển ,tốt
hạn chế tiếp xúc người lạ trong dịch,tốt
Tiết kiệm thời gian,tốt
Tiết kiệm được thời gian,tốt
Không bị trễ học ,tốt
