Khó tiếp thu,tệ,,
Không có,bình thường,,
không tập trung,tệ,,
đường truyền kém,tệ,,
Internet,không liên quan,,
không ,bình thường,,
không,bình thường,,
Wifi không ổn định,tệ,,
Kết nối mạng không ổn định,tệ,,
không có,bình thường,,
Khó thảo luận nhóm,tệ,,
Không,bình thường,,
Ko,bình thường,,
internet yếu ,tệ,,
"Sự cố mạng, cúp điện",tệ,,
Gia đình không chừa không gian riêng và không hiểu cho việc học tại nhà của con cái,tệ,,
đường truyền internet còn chập chờn,tệ,,
hay bị sự cố về mạng,tệ,,
không ý kiến,bình thường,,
Ko  vấn đề,bình thường,,
"Đôi khi đường truyền không ổn định, làm ảnh hưởng đến việc gián đoạn bài giảng",tệ,,
Khó tương tác thầy cô ,tệ,,
không có,bình thường,,
khó trao đổi bài với các bạn,tệ,,
mạng yếu gây cản trở việc học,tệ,,
"Khó hiểu, lười biếng",tệ,,
K,bình thường,,
internet,không liên quan,,
Đường truyền internet kém,tệ,,
đường truyền mạng,tệ,,
không có,bình thường,,
Không được tương tác trực tiếp với giảng viên ,tệ,,
Khó tiếp thu,tệ,,
oke,tốt,,
mạng chập chờn,tệ,,
không hiểu bài,tệ,,
dễ mất tập trung,tệ,,
không có,bình thường,,
Mọi thứ đều tốt,rất tốt,,
không có,bình thường,,
không có khó khăn,tốt,,
không được thảo luận các vấn đề chuyên sâu cùng giảng viên,tệ,,
Mạng yếu,tệ,,
Mạng yếu,tệ,,
Đôi khi mạng lag ,tệ,,
Không hiểu rõ và ít tt ,tệ,,
Internet,không liên quan,,
khó khăn trong xây dựng bài,tệ,,
Mạng lag,tệ,,
"Đường truyền kém,...",tệ,,
Đã quen với việc học trực tiếp trên lớp nên nay học trực tuyến khó tập trung và hiểu bài,tốt,,
Giảng viên giảng dễ hiểu ,rất tốt,,
Khó tiếp thu,tệ,,
Không có,bình thường,,
Ít tương tác,tệ,,
Mạng không ổn định,tệ,,
Mạng yếu,tệ,,
mạng,tệ,,
Dễ bị out khi mạng yếu,tệ,,
Ko hiểu đc hết giảng viên dạy,tệ,,
không có,bình thường,,
ít có có hôi thực hành,tệ,,
Không có,bình thường,,
Ít tương tác vs các bạn cùng lớp,tệ,,
Đôi khi bị rớt mạng,tệ,,
Khó hoạt động nhóm ,tệ,,
Khó tiếp thu bài giảng 1 cách trọn vẹn do yếu tố mạng,tệ,,
Khó tiếp thu,tệ,,
H,không liên quan,,
 mất mạng,tệ,,
Vấn đề mạng,tệ,,
 cản trở việc tiếp thu bài giảng,tệ,,
Đau mắt ,không liên quan,,
khó tiếp thu bài học,tệ,,
Đóng tiền để học mà cứ bắt tự học bắt tự làm không hiểu hỏi thì bị chửi ,,,
Đường truyền internet,không liên quan,,
Mạng không ổn định ,tệ,,
đường truyền mạng,tệ,,
khó tiếp thu ,tệ,,
Chỉ cần có vấn đề về đường truyền kết nối hoặc mất điện thì sinh viên sẽ bị mất một lượng lớn kiến thức.,rất tệ,,
Mạng không ổn đinh,tệ,,
Đường truyền kh ổn định nên k nghe toàn bộ bài giảng dẫn đến lơ đểnh k tập trung,tệ,,
Khó hoạt động nhóm,tệ,,
mạng lag,tệ,,
Một chút khó hiểu,tệ,,
"Bị mất điện và có lúc mất mạng, mạng yếu.",tệ,,
Không có,bình thường,,
Rớt mạng,tệ,,
Đường truyền internet yếu,tệ,,
Mất kết nối đường truyền,tệ,,
khó hiểu hơn tại vì không nghe trực tiếp,tệ,,
"Mất mạng, cúp điện, hư mic",tệ,,
Hay rớt mạng cúp điện,tệ,,
Đường truyền và nhiều vấn đề xung quanh như ồn ào,tệ,,
Mạng không ổn định,tệ,,
Gây ảnh hưởng trực tiếp đến thị giác,tệ,,
khó tiếp thu ,tệ,,
không,bình thường,,
Mất kết nối Internet ,tệ,,
không có khó khăn,tốt,,
Khó tiếp thu,tệ,,
"Khó tiếp thu, khó làm việc nhóm",tệ,,
Mạng kém ,tệ,,
Khó tiếp thu,tệ,,
Mạng không ổn định,tệ,,
internet không ổn định,tệ,,
 Khó áp dụng ,tệ,,
mạng yếu,tệ,,
không có,bình thường,,
"Internet yếu, coi tài liệu khó",tệ,,
Không có,bình thường,,
Ko có,bình thường,,
đường truyền không tốt,tệ,,
Mạng hay trục trặc,tệ,,
khó tiếp thu,tệ,,
"cúp điện ,mạng lag,...",tệ,,
Đường truyền không ổn định,tệ,,
kỹ năng sử dụng công nghệ để học tập trực tuyến còn hạn chế,tệ,,
cúp điện trong quá trình học,tệ,,
không,bình thường,,
tốt,tốt,,
Mạng lag,tệ,,
Vấn đề về mạng ,tệ,,
Mạng lag,tệ,,
Trục trặc về mạng ,tệ,,
cúp điện đột ngột,tệ,,
Khó tập trung ,tệ,,
Không thoải mái trao đổi như trực tiếp,tệ,,
không,bình thường,,
Không có,bình thường,,
Trang thiết bị không đủ,tệ,,
Dễ ngủ quên ,tệ,,
Kết nối mạng gặp nhiều khó khăn,tệ,,
Đường truyền đôi khi chập chờn,tệ,,
"Cúo điện, mạng lag ",tệ,,
không,bình thường,,
Không,bình thường,,
không được trao đổi bài với bạn bè được,tệ,,
Hay mất điện nên dễ bị không có internet,tệ,,
trao đổi bài tập,tệ,,
không ,bình thường,,
khó trao đổi bài trức tiếp với bạn bè,tệ,,
Mạng yếu nên hay gặp trục trặc không nghe giáo viên nói nguyên câu ,tệ,,
vô thì ít mà mất kiến thức thì nhiều,tệ,,
mạng yếu,tệ,,
"Một số vấn đề về internet, khó theo kịp bài giảng,..",tệ,,
"Chiếm nhiều thời gian, vấn đề về các thiết bị học: bị hỏng, mạng lag, khó hiểu bài…",tệ,,
Buồn ngủ ,tệ,,
mạng hay bị hỏng,tệ,,
"tắc đường, rớt mạng, hỏng xe",tệ,,
Học mệt lắm ,tệ,,
Thiếu tài liệu ,tệ,,
mất mạng,tệ,,
Không có,bình thường,,
đường truyền internet không ổn định ,tệ,,
Không có,bình thường,,
"buồn , tủi thân",tệ,,
Không,bình thường,,
không có,bình thường,,
Hay thoát lớp do mạng,tệ,,
kh có,bình thường,,
Vấn đề mạng,tệ,,
Dễ mất tập trung ,tệ,,
Mạng internet lag,tệ,,
Mạng k ổn định ,tệ,,
"do vấn đề sức khỏa nên quản lý thời gian chưa tốt, ",tệ,,
Không,bình thường,,
Khi mất điện không thể thi,rất tệ,,
"Không thể tương tác trực tiếp, mức độ hiểu bài thấp hơn học trực tiếp",tệ,,
không có khó khăn,tốt,,
Mạng bị yếu gây khó chịu khi nghe giảng,tệ,,
Internet không ổn định,tệ,,
Mất wf,tệ,,
ko,bình thường,,
Không có thiết bị đầy đủ để học,tệ,,
"Không hiểu bài, mạng lag, và nhiều khó khăn khác",tệ,,
Rớt mạng ,tệ,,
Không,bình thường,,
Rớt mạng,tệ,,
Không khó khăn,tệ,,
Mạng yếu ,tệ,,
K có,bình thường,,
"Mạng lag, đôi lúc không hiểu bài",tệ,,
kHÔNG CÓ,bình thường,,
Internet không ổn định,tệ,,
Khó hỏi bài giảng viên,tệ,,
Không có,bình thường,,
đường ttruyền internet đôi lúc không ổn định và bị cúp điện,tệ,,
KHÔNG,bình thường,,
a,không liên quan,,
KHÔNG CÓ,bình thường,,
Ko có,bình thường,,
"đường truyền internet,đã quen học tập theo phương pháp truyền thống",tệ,,
Khong có,bình thường,,
Đường truyền yếu,tệ,,
mạng lag,tệ,,
không được trao đổi trực tiếp với giảng viên,tệ,,
không,bình thường,,
Thiếu thiệt bị đường truyền Internet kém,tệ,,
Nhớ bạn,tệ,,
Mất mạng,tệ,,
Khó tiếp thu,tệ,,
Đôi khi mất mạng ảnh hưởng đến việc tiếp thu kiến thức,tệ,,
Khó tương tác ,tệ,,
Không,bình thường,,
Thỉnh thoảng sẽ gặp sự cố về đường truyền ,tệ,,
Đường truyền mạng không ổn định,tệ,,
Rớt mạng,tệ,,
"pin, mạng",tệ,,
Không,bình thường,,
Giao tiếp ,tệ,,
mất kết nối mạng,tệ,,
Kết nối mạng,tệ,,
điều kiện,tệ,,
mạng lag,tệ,,
Hay mất mạng,tệ,,
không,bình thường,,
Tương tác với mọi người chưa cao,tệ,,
không,bình thường,,
Đường truyền mạng kém,tệ,,
Không có,bình thường,,
Khó tập trung,tệ,,
kỹ năng sử dụng công nghệ để học tập trực tuyến,bình thường,,
Mạng yếu,tệ,,
Không hiểu kĩ bài giảng,tệ,,
Không có gì,bình thường,,
Ko có,bình thường,,
Lâu lâu bị rớt mạng,tệ,,
Đối với môn này thì không có khó khăn,tốt,,
Đường truyền,tệ,,
Khó làm việc nhóm,tệ,,
không lường trước được sự cố như mất điện...,tệ,,
Ko bị gặp khó khăn,bình thường,,
szrjd,không liên quan,,
K đc tương tác nhiều như học off,tệ,,
Mất mạng,tệ,,
không có khó khăn,tốt,,
Mất Mạng,tệ,,
khó tương tác,tệ,,
có lúc bị mất internet,tệ,,
K,bình thường,,
Khó khăn nhất là mạng bị trục trặc đề đường truyền,tệ,,
phương pháp học không được tốt lắm,tệ,,
Không,bình thường,,
Không có,bình thường,,
Không,bình thường,,
không tiếp thu tốt bằng học trực tiếp,tệ,,
Không có,bình thường,,
Kỹ năng sử dụng phần mềm công nghệ khi học tập trực tuyết ,bình thường,,
Không,bình thường,,
mạng yếu,tệ,,
Khó tiếp thu bài học hơn so với học trực tiếp,tệ,,
không hiểu bài,tệ,,
Không có,bình thường,,
Không có,bình thường,,
Đường truyền internet không được ổn định,tệ,,
kho tiep thu,tệ,,
"Hay lỗi mạng, hỏng hóc về thiết bị",tệ,,
Không được trực tiếp trao đổi bài với gv và bạn bè,tệ,,
Khó tập trung khi thi khó khăn,tệ,,
Vẫn tiếp thu tốt nhưng không như học off,bình thường,,
Hơi khó tiếp thu kiến thức do đã quen với việc lên lớp học,tệ,,
buồn ngủ,tệ,,
không hiểu ,tệ,,
Internet,không liên quan,,
Hay mất điện,tệ,,
Không,bình thường,,
Đường truyền mạng,tệ,,
Khó tiếp thu được hết kiến thức,tệ,,
Đường truyện mạng không ổn định,tệ,,
Đường truyền không ổn định ,tệ,,
Mạng wifi dễ bị ngắt,tệ,,
Mất mạng ,tệ,,
"Mất kết nối đường truyền lúc thi cử , kiểm tra",tệ,,
"Mạng yếu, cúp điện",tệ,,
mạng kém,tệ,,
Mạng không được ổn định,tệ,,
khó trao đổi với bạn bạn bè,tệ,,
KO,bình thường,,
mất internet,tệ,,
mạng không ổn định,tệ,,
ko có,bình thường,,
không có,bình thường,,
cảm giác bí bách khi ở nhà học quá lâu,tệ,,
Dễ mất kết nối mạng do mạng yếu,tệ,,
Khó trao đổi với giảng viên,tệ,,
không có khó khăn,tốt,,
Đường truyền,tệ,,
thiết bị học tập ,tệ,,
Ko co,bình thường,,
Không,bình thường,,
không,bình thường,,
trao đổi với bạn bè không được thuận lợi,tệ,,
không,bình thường,,
Tốt,tốt,,
hay mất kết nối mạng,tệ,,
không,bình thường,,
Ko,bình thường,,
Không được giải bài trực tiếp,tệ,,
đường truyền internet,tệ,,
không có gì ý kiến,bình thường,,
Ko,bình thường,,
k,bình thường,,
không,bình thường,,
đường truyền kém,tệ,,
do môi trường bên ngoài ,không liên quan,,
đường truyền internet đôi khi không ổn định,tệ,,
Đường truyền kém,tệ,,
không ,bình thường,,
k,bình thường,,
không ,bình thường,,
.,không liên quan,,
"khó tiếp thu bài, học phí vẫn tăng",tệ,,
Đôi khi kết nối kém,tệ,,
k,bình thường,,
Không,bình thường,,
Ít hiểu bài hơn,tệ,,
Không,bình thường,,
.,không liên quan,,
Không,tệ,,
"Dạ đôi lúc có 1 hoặc 2 lần em có bị lag mạng và tắt giữa chừng, nhưng mà em vẫn có thể tìm biện pháp nhanh để đăng nhập lại vào lớp được ạ! Dạ cũng không có gì khó khăn khi em học online ạ!",bình thường,,
đường truyền internet,tệ,,
không,bình thường,,
đường truyền mạng đôi lúc trục trặc gây cản trở việc học,tệ,,
Rớt mạng,tệ,,
không,bình thường,,
Mạng hay bị lỗi,tệ,,
khong,bình thường,,
ko,bình thường,,
Mạng kém ổn định,tệ,,
Xa ,không liên quan,,
Mạng yếu,tệ,,
Không,bình thường,,
Không,bình thường,,
4g wifi phải ổn địn,không liên quan,,
Lag,không liên quan,,
sự cố về internet,tệ,,
Đường  truyền internet,tệ,,
Không có,bình thường,,
Mạng Internet bất thường ,tệ,,
X,không liên quan,,
rớt mạng,tệ,,
Khó trao đổi bài với bạn bè và giảng viên,tệ,,
Đường truyền kết nối kém,tệ,,
Đường truyền yếu dẫn đến mất kiến thức,tệ,,
đường truyền đôi khi trục trặc,tệ,,
Ko có,bình thường,,
.,không liên quan,,
Không,bình thường,,
không được gặp bạn bè để trao đổi nhiều,tệ,,
k,bình thường,,
Không có ,bình thường,,
no,không liên quan,,
"mất điện, rớt mạng dẫn đến không theo kịp bài giảng",tệ,,
thiết bị học tập ,tệ,,
không,bình thường,,
đường truyền internet; thiết bị sử dụng học trực tuyến,tệ,,
Hay gặp sự cố cúp điện,tệ,,
Mất mạng,tệ,,
Mạng và thiết bị,tệ,,
Không,bình thường,,
khó tiếp cận,tệ,,
K,bình thường,,
Mất điện đột xuất,tệ,,
Mất kết nối ,tệ,,
Đường truyền wifi không ổn định,tệ,,
"hay bị rớt mạng , máy tính lag ",tệ,,
Mạng internet,tệ,,
mạng lag,tệ,,
thiếu tương tác và không hiểu rõ bài ,tệ,,
Mạng yếu,tệ,,
mạng không ổn định,tệ,,
"wifi lag, mất điện",tệ,,
Đường truyền kém ,tệ,,
không,tệ,,
"dễ bị out ra lớp vì bị cúp điện, khó khăn trong việc làm bài nhóm",tệ,,
Đường truyền internet ,tệ,,
Không có,bình thường,,
đường truyền internet nhiều lúc bị trục trặc làm cho việc trao đổi giữa GV và SV bị cản trở ,tệ,,
không,bình thường,,
Mạng rớt,tệ,,
Đường truyền không ổn định,tệ,,
Không,bình thường,,
dương truyen khong on dinh,tệ,,
đường truyền không ổn định,tệ,,
Không ý kiến ,bình thường,,
Ko có,bình thường,,
Đôi khi gặp vấn đề về rớt mạng,tệ,,
K hiểu bài,tệ,,
Không gặp bạn bè,tệ,,
mạng không oinr định,tệ,,
.,không liên quan,,
không có,bình thường,,
"khó tập trung, khó tiếp thu",tệ,,
mạng chậm dẫn đến đứt đoạn,tệ,,
thiếu kiến thức,tệ,,
không,bình thường,,
K,bình thường,,
Ko,bình thường,,
Không có,bình thường,,
mạng yếu ,tệ,,
"những tình huống như mất điện, kết nối internet kém",tệ,,
Mạng hơi yếu,tệ,,
"Khó tập trung, đường truyền internet",tệ,,
"Khó tiếp thu, mạng lag",tệ,,
mạng lag ,tệ,,
Mạng lag,tệ,,
mạng lag,tệ,,
"đường truyền , sự cố vĩ mô như cúp điện,...",tệ,,
không,bình thường,,
Không,bình thường,,
mạng wifi không ổn định,tệ,,
"dễ có những tình huống không lường trước được xảy ra như: cúp điện, rớt mạng, hư hỏng thiết bị,...",rất tệ,,
Ko,bình thường,,
N/A,không liên quan,,
"Dễ mất mạng, gián đoạn việc học",tệ,,
đường truyền không tốt,tệ,,
không,bình thường,,
không,bình thường,,
Internet đôi lúc chập chờn,tệ,,
Không có ý kiến,bình thường,,
đường truyền mạng hay bị sự cố ảnh hưởng tới quá trình học online,rất tệ,,
Không ,bình thường,,
đường truyền internet,tệ,,
không có,bình thường,,
hiệu quả không cao,tệ,,
đường truyền internet,tệ,,
Không tập trung,tệ,,
Khó tiếp thu,tệ,,
đôi lúc mạng chập chờn,tệ,,
không có,bình thường,,
mạng yếu,tệ,,
Không,bình thường,,
đường truyền,tệ,,
Hay gặp vấn đề về mạng,tệ,,
fhtgbdh,không liên quan,,
Khó giao tiếp ,tệ,,
cảm giác bí bách khi ở nhà học quá lâu,tệ,,
Không ,bình thường,,
Kk có,không liên quan,,
Ko hiểu bài,tệ,,
Không có,bình thường,,
mạng yếu,tệ,,
Đường truyền nhiều lúc không ổn định,tệ,,
Ko có ,bình thường,,
Không,bình thường,,
Khó trao đổi với giảng viên,tệ,,
Đường truyền mạng ,tệ,,
"wifi lag, mất điện",tệ,,
ko có ,bình thường,,
Không,bình thường,,
khong,bình thường,,
Mạng internet không ổn định,tệ,,
Internet ổn định,tệ,,
mạng yếu,tệ,,
Đường truyền kết nối mạng ,tệ,,
ko có,bình thường,,
Không ,bình thường,,
Đôi khi mạng bị lag trong quá trình học tập,tệ,,
không có,bình thường,,
đường truyền internet không ổn định,tệ,,
K,bình thường,,
"mạng lag, khó tiếp cận giảng viên",tệ,,
Không,bình thường,,
Internet không ổn định,bình thường,,
Khong,bình thường,,
không,bình thường,,
"Mất điện, rớt mạng, mạng chậm,......",tệ,,
Không có,bình thường,,
Khong,bình thường,,
đường truyền internet,tệ,,
Không tập trung,tệ,,
Khó tiếp thu,tệ,,
Không gặp bạn bè tại lớp,tệ,,
ko có,bình thường,,
Ko có,bình thường,,
Không hiểu bài,tệ,,
không có ,bình thường,,
Không có,bình thường,,
mạng không ổn,tệ,,
Ko có ,bình thường,,
mạng yếu ,tệ,,
kết nối mạng kém,tệ,,
Đường truyền mạng ,tệ,,
Không,bình thường,,
Mạng internet không ổn định,tệ,,
"Khó tiếp thu, mạng lag",tệ,,
Mạng lag,tệ,,
mạng lag,tệ,,
mạng yếu,tệ,,
"đôi khi rớt mạng, ồn ào",tệ,,
không có,bình thường,,
"dễ có những tình huống không lường trước được xảy ra như: cúp điện, rớt mạng, hư hỏng thiết bị,...",rất tệ,,
không có,bình thường,,
đường truyền internet không ổn định,tệ,,
Không,bình thường,,
khó hiểu bài,tệ,,
Mạng internet không ổn định,tệ,,
đường truyền intẻnet bị gián đoạn,tệ,,
Internet đôi lúc chập chờn,tệ,,
Không có ý kiến,tệ,,
Mạng yếu,tệ,,
Không có,bình thường,,
đường truyền internet,tệ,,
"Mất điện, rớt mạng, mạng chậm,......",tệ,,
Không có bất cứ khó khăn nào,bình thường,,
mạng lag,tệ,,
Khó tiếp thu bài,tệ,,
đường truyền internet,tệ,,
Đường truyền internet thường bị lỗi,tệ,,
Đường truyền mạng,tệ,,
Đường truyền mạng,tệ,,
Ok,tốt,,
"Mạng yếu, không thể tiếp thủ hết kiến thức",tệ,,
mạng yếu,tệ,,
Mạng lag,tệ,,
khó hiểu bìa,tệ,,
không ý kiến,tệ,,
mạng lag,tệ,,
khó tập trung,tệ,,
k có,bình thường,,
Kết nối mạng yếu,tệ,,
Mất mạng,tệ,,
"Dễ bị phân tâm, lỗi mạng ko nghe được giảng viên giảng bài",tệ,,
Mất kết nối dễ gây khó khan cho việc học ,tệ,,
Khó tiếp cận bài nếu mất mạng,tệ,,
đường truyền Internet,tệ,,
mạng không ổn định,tệ,,
mạng không ổn định,tệ,,
không tập trung,tệ,,
đường truyền kém,tệ,,
mất tập trung,tệ,,
đường truyền kém,tệ,,
Internet chập chờn,tệ,,
Không,bình thường,,
Không có,bình thường,,
ko ,bình thường,,
Học khó có thể tiếp thu được hết,tệ,,
mạng yếu,tệ,,
ko,bình thường,,
đường truyền không ổn định,tệ,,
Mất mạng,tệ,,
Mất mạng,tệ,,
Không,bình thường,,
không có,bình thường,,
Không có,bình thường,,
Khó hỏi bài,tệ,,
không có,bình thường,,
mạng không ổn định,tệ,,
"Mạng chậm, yếu, không nghe rõ âm thanh",tệ,,
Bình thường,bình thường,,
không ạ,bình thường,,
đường truyền kém,tệ,,
Có lúc trục trặc về mạng,tệ,,
rớt mạng,tệ,,
không,bình thường,,
Không,bình thường,,
k có,bình thường,,
đường truyền Internet,tệ,,
ko ,bình thường,,
đường truyền internet,tệ,,
đường truyền kém ,tệ,,
Không có,bình thường,,
Đường truyền internet,tệ,,
Không,bình thường,,
Lỗi camera ,tệ,,
Ít trao đổi với bạn bè,tệ,,
oke,tốt,,
Đường truyền,tệ,,
"Mạng yếu , cúp điện ",tệ,,
đường truyền internet,tệ,,
rớt mạng,tệ,,
Internet kém,tệ,,
Khó tiếp thu,tệ,,
đáp ứng của giảng viên,tệ,,
Bình thường,bình thường,,
đường truyền internet kém,tệ,,
Đường truyền ,tệ,,
Không có,bình thường,,
Khó tiếp thu,tệ,,
đường truyền đôi lúc yếu,tệ,,
không có ,bình thường,,
không ý kiến,bình thường,,
khó khăn,tệ,,
đường truyền,tệ,,
đường truyền mạng,tệ,,
Không được tương tác trực tiếp với giảng viên ,tệ,,
Bình thường ,bình thường,,
Internet có khi không ổn định,tệ,,
Khó khăn trong việc làm việc nhóm,tệ,,
Mạng yếu,tệ,,
không có khó khăn,tốt,,
K,bình thường,,
Mất điện bị văng ra,tệ,,
"Mạng đôi lúc chập chờn, rớt mạng ",tệ,,
Mạng ở nhà lúc mạnh lúc yếu,tệ,,
Mạng đôi lúc yếu ,tệ,,
Cúp điện mạng yếu ,tệ,,
Internet kém,tệ,,
không,bình thường,,
Không,bình thường,,
hay bi rớt mạng,tệ,,
mạng lag,tệ,,
Không có,bình thường,,
đường truyền internet,tệ,,
Không có,bình thường,,
Khó tiếp thu,tệ,,
Lỗi camera ,tệ,,
Đường truyền mạng,tệ,,
không coa,tệ,,
Không,bình thường,,
mạng yếu,tệ,,
không ý kiến,tệ,,
"mất kết nối, cúp điện",tệ,,
khong co,bình thường,,
mạng yếu,tệ,,
"đường truyền mạng, không tiếp thu hết kiến thức",tệ,,
không có,bình thường,,
khó tiếp cận,tệ,,
đường truyền,tệ,,
Không được tương tác trực tiếp với giảng viên ,tệ,,
Đường truyền internet kém,tệ,,
Mạng yếu,tệ,,
oke,tốt,,
không có,bình thường,,
mang khong on dinh,tệ,,
duong truyen khong on dinh,tệ,,
Nhiều lúc học đường truyền k tốg ,tệ,,
Không có,bình thường,,
Đường truyền ineternet,tệ,,
KHONG CO,bình thường,,
Ko có,bình thường,,
đường truyền mạng hay bị sự cố ảnh hưởng tới quá trình học online,tệ,,
khó trao đổi trong thực hành,tệ,,
Rớt mạng,tệ,,
K,bình thường,,
đường truyền internet,tệ,,
Không ý kiến ,bình thường,,
Không có,bình thường,,
R,không liên quan,,
Ko,bình thường,,
Đường truyền mạng,tệ,,
Không,bình thường,,
K,bình thường,,
K,bình thường,,
Đường truyền,bình thường,,
đường truyền internet,bình thường,,
Không có,bình thường,,
mạng không ổn định,tệ,,
nạng không ổn,tệ,,
rớt mạng,tệ,,
Không có,bình thường,,
Rớt mạng,tệ,,
đường truyền mạng hay bị sự cố ảnh hưởng tới quá trình học online,tệ,,
Không,bình thường,,
dễ mất mạng,tệ,,
đáp ứng của giảng viên,bình thường,,
Mạng,tệ,,
không ,bình thường,,
không ,bình thường,,
không,bình thường,,
Thiết bị kém,tệ,,
không,bình thường,,
Internet không ổn định,tệ,,
khong hiểu hết bài học,tệ,,
không hiểu hết bài học,tệ,,
Bình thường,bình thường,,
Mạng yếu,tệ,,
Đường truyền internet,tệ,,
Mạng kém,tệ,,
Không có,bình thường,,
Mạng lag,tệ,,
Rớt mạng,tệ,,
không có khó khăn,tốt,,
"mạng lag , ồn ào , ",tệ,,
không,bình thường,,
Wifi không ổn định,tệ,,
không,bình thường,,
không,bình thường,,
Wifi không ổn định,tệ,,
không có,bình thường,,
Khó thảo luận nhóm,tệ,,
Mạng kém,tệ,,
Khó thảo luận khi làm nhóm,tệ,,
Không có ý kiến,tệ,,
Chất lượng Mạng,tệ,,
không,bình thường,,
không,bình thường,,
nhiều lúc sóng mạng yếu không nghe rõ giảng viene nói,tệ,,
"mạng yếu, mất điện, ",tệ,,
Không ,bình thường,,
"mất kết nối, mất điện",tệ,,
Khó hiểu,tệ,,
Không ,bình thường,,
Mạng yếu,tệ,,
Không,bình thường,,
khong co,bình thường,,
kỹ năng sử dụng công nghệ để học tập trực tuyến,tệ,,
không,bình thường,,
không,bình thường,,
không,bình thường,,
không,bình thường,,
mạng hơi yếu,tệ,,
Mất điện văng ra,tệ,,
Không đủ tài liệu học tập,tệ,,
Internet,không liên quan,,
mạng kém,tệ,,
Không có ý kiến,bình thường,,
"Đôi khi cúp điện, mạng yếu",tệ,,
Mạng yếu,tệ,,
Khó tiếp thu,tệ,,
Mạng lag,tệ,,
Mất mạng,tệ,,
Kết nối mạng yếu,tệ,,
đường truyền internet,tệ,,
Internet,không liên quan,,
Không có,bình thường,,
Không,bình thường,,
không có laptop,không liên quan,,
ok ạ,tốt,,
rớt mạng,tệ,,
d,không liên quan,,
k,bình thường,,
mạng yếu,tệ,,
không,bình thường,,
Không,bình thường,,
d,không liên quan,,
KHONG CÓ,bình thường,,
Ko có,bình thường,,
Kh có sách,tệ,,
Không có,bình thường,,
không,bình thường,,
"đường truyền mạng đôi lúc không ổn định,...",tệ,,
Không ,bình thường,,
Không có,bình thường,,
không có khó khan,bình thường,,
"Mạng yếu, dễ buồn ngủ",tệ,,
Không,bình thường,,
mạng yếu,tệ,,
Mạng ,tệ,,
kỹ năng sử dụng công nghệ để học tập trực tuyến,tệ,,
.,không liên quan,,
Không đủ tài liệu học ,tệ,,
Internet,không liên quan,,
duong truyen khong on dinh,tệ,,
Dịch bệnh,tệ,,
ko,bình thường,,
không có,bình thường,,
đường truyền internet; thiết bị sử dụng học trực tuyến,tệ,,
KHÔNG,bình thường,,
Bình thường,bình thường,,
mạng lag,tệ,,
không chú tâm,tệ,,
